x
H1-H3K27ac_rep1
NA-H3K27ac_rep1
H1-H3K27ac_rep2
NA-H3K27ac_rep2
H1-H3K27me3_rep1
NA-H3K27me3_rep1
H1-H3K27me3_rep2
NA-H3K27me3_rep2
