PromEnh,PromOnly
MAX,SATB2
RUNX2,BCAP31
SH3KBP1,FGF2
HIVEP1,PYHIN1
GADD45G,PI16
KLF3,DCAKD
FOXP1,GREM1
MVB12B,ENO4
C16orf72,CD248
RRP7A,CD276
GOLGA5,CRIM1
POU5F1B,ACSF3
ARHGAP15,PELI1
AP1S3,SKOR2
TNFSF4,UPRT
LCLAT1,ZNF41
KCNA5,KIF6
C12orf75,AIFM1
ANO3,SAMD13
EGLN3,ZNF727
RFC3,HSPA6
HMCN1,ARIH2OS
OTULIN,SYT3
LCMT1,LIPC
VSIG4,KCNA5
PPFIBP1,SPIN3
CYFIP2,GJA5
NDUFA12,TRIM58
PXDN,PHF6
CHDH,PDE1A
OLIG3,SLC7A11
IGSF3,APOBEC1
AUTS2,LURAP1L
BARX2,LTA
CALM1,VWC2
NMUR1,ZFP28
LRCH1,MAML3
KCMF1,SLC12A6
NR3C1,AMICA1
RAB1A,FZD8
TBC1D16,NOL4
HDAC9,SLAMF6
SULF2,XKR6
CSGALNACT1,SHROOM3
KCNRG,PTGS1
PRG1,DAPK1
SPIN3,VDAC2
RBMX,COL25A1
SOS1,IFI44L
CASK,BMP7
KCTD15,CEACAM5
ATP13A3,CCDC81
AREG,NIP7
FMOD,LEPR
HADHSC,BACE2
CRY1,OTUD5
ANKRD55,C1orf186
ST7,MANSC1
TIGAR,ACOT11
NRN1,GCSAML
ZNF704,ADRA1D
APBB2,ZBED2
TNFSF8,RBM10
PMEPA1,CCDC42
RRM1,SMAD3
GEMIN6,NCR2
CYP46A1,RAB39A
SYNM,TEK
HTT,IRAK3
PAPOLG,DUSP6
TMEM236,XIAP
ZBTB38,CDC42BPA
GPR155,CCDC169
MAP2K6,CNOT10
MAF,TRIM49B
ACBD3,CFAP46
INPP5A,CXorf21
CHD7,REV3L
GPR55,CCDC169-SOHLH2
IPCEF1,PTPN20
QKI,LDOC1
CCL13,LAG3
SLC22A15,WBSCR28
PMAIP1,ZNF334
APCDD1,ST6GAL2
PTPRJ,GSX1
PIK3AP1,PAPD7
MOB3B,KCNIP4
LRRC15,CER1
SCARB1,IL15
ADGRD1,MKRN3
RAB11A,SPINK2
CBX8,MRGPRX3
HTR3A,RENBP
GNG12,SYNDIG1
SYN3,MOSPD1
PLGLB2,ZNF716
LRRN1,RASSF2
ELAC2,KCNC1
ARRDC4,IL12B
SLC38A11,HIST1H3F
RGCC,CMPK1
IRF4,GPM6B
RPL32,DAB2
PHLPP1,ATP1B1
CDK14,GBX2
FBXO21,IGSF3
NOD2,FKBP6
PRMT8,RPRM
IQGAP2,IRX3
DYX1C1,CHIC1
BOD1,SPPL2C
MSI2,ZNF516
C2orf91,KCNJ2
EPB41L2,ABLIM3
SYDE2,KIR3DL2
NCOA2,RINL
SRRM1,PTPN2
MKRN1,C4orf19
GADL1,ITGA3
ELK3,ARID1B
RNASEH2B,SHANK1
MICU2,DBNDD2
ARHGAP6,PPP2R3A
SKAP1,ZHX2
ZSWIM6,GZMA
CCR9,NDUFA1
RFX2,ARMCX5
CDK17,HNRNPCL2
ARHGAP44,AHR
SNX18,CELF2
CLN8,SPN
SDK2,SHANK2
GORASP2,PPP1R3F
TBC1D9,ZC3H4
MACROD2,DLC1
TCRA,PLXNA2
NACA2,NXPH2
NAPG,ZNF75A
CPPED1,OR51B5
CCND2,DKC1
GRAP2,NETO2
KIT,TMEM109
DCHS2,GLA
FZD1,SPARCL1
EGR2,SLC45A1
USP6NL,HOXA13
TSPAN13,ACVR2A
ARHGAP24,PARM1
PITRM1,TACC2
EIF4E3,ARSB
IL17RB,UBE2A
TMEM163,SYCP2L
C10orf131,RXFP1
DMRT2,THEGL
SAMHD1,VBP1
ZNF217,PCDHAC1
FAM20C,DPP10
NAP1L4,SLC35E2B
RBPJ,BAIAP3
TBC1D7,MAPK10
VRK1,TCEAL1
PGPEP1L,ZNF135
FLJ11160,MME
CBWD2,PLD1
C6ORF37,FBXW11
PAN3,AHSA1
WBSCR27,CACNA2D4
LONRF1,CXCL14
SLC18A2,NSMAF
WDR11,FAM110C
DISC1,C2CD4B
SALL3,MS4A10
C2orf57,CDYL2
RBFOX3,EGLN3
ST14,HIST1H2BF
EBLN2,MRPS14
KCNH8,CSGALNACT1
NR3C2,SLC5A1
YY1,ANO1
POLG,NAT8
ACOT9,CLDN3
SLC46A3,PCBP3
CDCA7,ZBTB14
KIF13B,PLAC1
HIP1,AIMP1
