file,group,dataset
A71314.CEMT_75.H3K36me3.hg19a.IX5272.CB4DUANXX_5_ACTGAT.q5.F1028.PET.wig.bw,1,5
A71315.CEMT_75.H3K27ac.hg19a.IX5269.CB4DUANXX_2_AGAAGA.q5.F1028.PET.wig.bw,1,6
A71316.CEMT_75.Input.hg19a.IX5272.CB4DUANXX_5_AGATAG.q5.F1028.PET.wig.bw,1,7
A71317.CEMT_76.H3K4me1.hg19a.IX5272.CB4DUANXX_5_AGCGCT.q5.F1028.PET.wig.bw,1,1
A71318.CEMT_76.H3K4me3.hg19a.A71318_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A71319.CEMT_76.H3K9me3.hg19a.IX5273.CB4DUANXX_6_ATAATT.q5.F1028.PET.wig.bw,1,3
A71320.CEMT_76.H3K27me3.hg19a.IX5273.CB4DUANXX_6_ATACGG.q5.F1028.PET.wig.bw,1,4
A71321.CEMT_76.H3K36me3.hg19a.IX5273.CB4DUANXX_6_ATCCTA.q5.F1028.PET.wig.bw,1,5
A71322.CEMT_76.H3K27ac.hg19a.IX5269.CB4DUANXX_2_ATCTAT.q5.F1028.PET.wig.bw,1,6
A71323.CEMT_76.Input.hg19a.IX5273.CB4DUANXX_6_ATGAGC.q5.F1028.PET.wig.bw,1,7
A72041.CEMT_78.H3K4me1.hg19a.IX5322.CB4EDANXX_4_ATCACG.q5.F1028.PET.wig.bw,1,1
A72042.CEMT_78.H3K4me3.hg19a.IX5321.CB4EDANXX_3_CGATGT.q5.F1028.PET.wig.bw,1,2
A72043.CEMT_78.H3K9me3.hg19a.IX5322.CB4EDANXX_4_TTAGGC.q5.F1028.PET.wig.bw,1,3
A72044.CEMT_78.H3K27me3.hg19a.IX5323.CB4EDANXX_5_TGACCA.q5.F1028.PET.wig.bw,1,4
A72045.CEMT_78.H3K36me3.hg19a.IX5323.CB4EDANXX_5_ACAGTG.q5.F1028.PET.wig.bw,1,5
A72046.CEMT_78.H3K27ac.hg19a.IX5321.CB4EDANXX_3_GCCAAT.q5.F1028.PET.wig.bw,1,6
A72047.CEMT_78.Input.hg19a.IX5323.CB4EDANXX_5_CAGATC.q5.F1028.PET.wig.bw,1,7
A72048.CEMT_79.H3K4me1.hg19a.IX5323.CB4EDANXX_5_GATCAG.q5.F1028.PET.wig.bw,1,1
A72049.CEMT_79.H3K4me3.hg19a.IX5321.CB4EDANXX_3_TAGCTT.q5.F1028.PET.wig.bw,1,2
A72050.CEMT_79.H3K9me3.hg19a.IX5324.CB4EDANXX_6_GGCTAC.q5.F1028.PET.wig.bw,1,3
A72051.CEMT_79.H3K27me3.hg19a.IX5324.CB4EDANXX_6_CTTGTA.q5.F1028.PET.wig.bw,1,4
A72052.CEMT_79.H3K36me3.hg19a.IX5324.CB4EDANXX_6_AAACAT.q5.F1028.PET.wig.bw,1,5
A72053.CEMT_79.H3K27ac.hg19a.IX5321.CB4EDANXX_3_AAAGCA.q5.F1028.PET.wig.bw,1,6
A72054.CEMT_79.Input.hg19a.IX5324.CB4EDANXX_6_AAATGC.q5.F1028.PET.wig.bw,1,7
A72062.CEMT_81.H3K4me1.hg19a.IX5325.CB4EDANXX_7_AGCGCT.q5.F1028.PET.wig.bw,1,1
A72063.CEMT_81.H3K4me3.hg19a.IX5321.CB4EDANXX_3_AGGCCG.q5.F1028.PET.wig.bw,1,2
A72064.CEMT_81.H3K9me3.hg19a.IX5325.CB4EDANXX_7_ATAATT.q5.F1028.PET.wig.bw,1,3
A72065.CEMT_81.H3K27me3.hg19a.IX5325.CB4EDANXX_7_ATACGG.q5.F1028.PET.wig.bw,1,4
A72066.CEMT_81.H3K36me3.hg19a.IX5325.CB4EDANXX_7_ATCCTA.q5.F1028.PET.wig.bw,1,5
A72067.CEMT_81.H3K27ac.hg19a.IX5321.CB4EDANXX_3_ATCTAT.q5.F1028.PET.wig.bw,1,6
A72068.CEMT_81.Input.hg19a.IX5326.CB4EDANXX_8_ATGAGC.q5.F1028.PET.wig.bw,1,7
A36002.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36003.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36004.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36005.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A54762.3_lanes_dupsFlagged.q5.5mC.CpG.frac.bw,1,8
BI.Brain_Hippocampus_Middle.Bisulfite-Seq.149.wig.bw,2,8
BI.Brain_Hippocampus_Middle.Bisulfite-Seq.150.wig.bw,2,8
BI.Brain_Hippocampus_Middle.H3K27ac.112.wig.bw,2,6
BI.Brain_Hippocampus_Middle.H3K27ac.149.wig.bw,2,6
BI.Brain_Hippocampus_Middle.H3K27ac.150.wig.bw,2,6
BI.Brain_Hippocampus_Middle.H3K27me3.112.wig.bw,2,4
BI.Brain_Hippocampus_Middle.H3K27me3.150.wig.bw,2,4
BI.Brain_Hippocampus_Middle.H3K36me3.112.wig.bw,2,5
BI.Brain_Hippocampus_Middle.H3K36me3.149.wig.bw,2,5
BI.Brain_Hippocampus_Middle.H3K36me3.150.wig.bw,2,5
BI.Brain_Hippocampus_Middle.H3K4me1.112.wig.bw,2,1
BI.Brain_Hippocampus_Middle.H3K4me1.149.wig.bw,2,1
BI.Brain_Hippocampus_Middle.H3K4me1.150.wig.bw,2,1
BI.Brain_Hippocampus_Middle.H3K4me3.112.wig.bw,2,2
BI.Brain_Hippocampus_Middle.H3K4me3.149.wig.bw,2,2
BI.Brain_Hippocampus_Middle.H3K4me3.150.wig.bw,2,2
BI.Brain_Hippocampus_Middle.H3K9ac.112.wig.bw,2,9
BI.Brain_Hippocampus_Middle.H3K9me3.112.wig.bw,2,3
BI.Brain_Hippocampus_Middle.H3K9me3.149.wig.bw,2,3
BI.Brain_Hippocampus_Middle.H3K9me3.150.wig.bw,2,3
BI.Brain_Hippocampus_Middle.Input.112.wig.bw,2,7
BI.Brain_Hippocampus_Middle.Input.149.wig.bw,2,7
BI.Brain_Hippocampus_Middle.Input.150.wig.bw,2,7
BI.Brain_Inferior_Temporal_Lobe.H3K27ac.112.wig.bw,2,6
BI.Brain_Inferior_Temporal_Lobe.H3K27ac.149.wig.bw,2,6
BI.Brain_Inferior_Temporal_Lobe.H3K27me3.112.wig.bw,2,4
BI.Brain_Inferior_Temporal_Lobe.H3K27me3.149.wig.bw,2,4
BI.Brain_Mid_Frontal_Lobe.H3K27ac.112.wig.bw,2,6
BI.Brain_Mid_Frontal_Lobe.H3K27ac.149.wig.bw,2,6
BI.Brain_Mid_Frontal_Lobe.H3K27me3.149.wig.bw,2,4
