file,group,dataset
S013PYH1.ERX1007457.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S013PYH1.ERX1007458.H3K4me1.bwa.GRCh38.20151029.bw,1,4
S013PYH1.ERX1007459.H3K27me3.bwa.GRCh38.20151029.bw,1,2
S013PYH1.ERX1007460.H3K9me3.bwa.GRCh38.20151029.bw,1,6
S013PYH1.ERX1122464.Input.bwa.GRCh38.20151029.bw,1,8
S00XVLH1.ERX941022.H3K4me3.bwa.GRCh38.20150529.bw,1,5
S00XVLH1.ERX941023.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00XVLH1.ERX941024.H3K27ac.bwa.GRCh38.20150529.bw,1,1
S00XVLH1.ERX941025.H3K4me1.bwa.GRCh38.20150529.bw,1,4
S00XVLH1.ERX941026.H3K27me3.bwa.GRCh38.20150529.bw,1,2
S00XVLH1.ERX941027.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00XVLH1.ERX943235.Input.bwa.GRCh38.20150529.bw,1,8
S00XYFH1.ERX941013.H3K4me3.bwa.GRCh38.20150529.bw,1,5
S00XYFH1.ERX941014.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00XYFH1.ERX941015.H3K27ac.bwa.GRCh38.20150529.bw,1,1
S00XYFH1.ERX941016.H3K4me1.bwa.GRCh38.20150529.bw,1,4
S00XYFH1.ERX941034.H3K27me3.bwa.GRCh38.20150529.bw,1,2
S00XYFH1.ERX941035.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00XYFH1.ERX943236.Input.bwa.GRCh38.20150529.bw,1,8
