PromEnh,PromOnly
SIX3,MRPS17
CPSF5,XAF1
RRP7A,C5orf46
USP43,BANK1
ARHGAP23,KCNK2
JMJD4,PHGR1
USP22,ZNF761
RASD1,MID1
SIAT4C,ZNF582
GIN1,SCRN1
KDM4B,BLVRA
MAFF,ADGRG2
ANKRD11,GPR162
IPCEF1,SH3RF2
CHST3,SDCBP2
VAPA,CCDC8
VAMP3,DHX32
FAM76A,ACTRT1
CERK,FRMD5
CHAMP1,IGFL3
ANKRD9,KCNE1
WAPL,ZMYND11
MYO7A,CELF3
CCNL1,KIN
HAAO,FTCD
CACNA1C,ADARB2
MKL1,DLEC1
SETBP1,RHPN1
C20orf85,CDH23
TMEM106C,ARSD
SOX4,FGA
TNS1,ZFP28
HRH1,RARRES2
PTP4A3,NIPSNAP3B
JARID2,CDK11A
SCARF2,SYNPO
C5orf67,TSC22D3
NEURL1B,ZNF497
ABCA1,ZNF248
NCALD,RAB9A
PLCG1,ZNF713
DHRS12,LRRC20
TFB1M,DEDD2
FYN,RASSF1
BAALC,ATXN3L
ATP2B2,C10orf54
RPL26,MAOA
RHCG,ACE2
MBP,KIAA1462
RSPH14,FBXO43
EFNB2,SAGE1
ZNF469,ARL13A
DGKI,CD151
ACBD4,COL8A1
KIAA0141,NSUN6
TUBB2B,PAK6
CORO2B,DICER1
FAM118A,F11
CAMSAP1,PRKG2
NRP2,ZNF132
MLLT6,STON2
SOWAHC,TENM2
JAM3,CLRN1
KCNMA1,PPEF1
B9D1,ZNF12
DPYSL2,INSL4
TMEM169,PIP5KL1
WDFY2,IKZF1
KLF9,VILL
DTNBP1,VCL
TACR2,TRDMT1
SKI,TMEM266
SNAI1,FAM222A
SRBD1,DUSP13
CFAP20,MYO3A
KBTBD11,VWA3A
MPP6,UGT2B15
FLJ12783,CRX
SLC14A2,ASB1
ENHO,EPYC
RAP1GAP2,MB21D1
ARL6IP6,CLPSL2
TIGIT,SOX10
NMT1,C1orf100
ANP32A,CSTF2T
UNC5B,TRPM3
TSN,MRPL51
PRR34,UBQLN3
TIMP3,CCRL2
QRICH1,SAA1
FLJ11160,AQP1
CRYBA4,MAP4
CYP24A1,GUCY2F
TIMP2,RNF128
SLA,ARHGAP21
PAIP2,ELL3
WSCD1,RAB18
PRKAR2B,RGN
DNMT3B,ARHGEF16
