PromEnh,PromOnly
GLIS3,TMEM88
PUM1,ACAP1
TBX15,RFTN1
FAT3,TGFBR3
RFTN1,BCAR1
RORA,GNG4
PTK2,ADD2
DUSP4,PAPPA
ZSWIM6,FUT1
MLLT6,MN1
OGFRL1,AMPD3
DUSP10,MYCN
TSHZ3,RPH3AL
ZNF703,FUT2
CYP1B1,ATP1A2
TMEM211,C1orf116
ABLIM2,TSPO
CDKN2A,MICAL2
CORO2B,ANGPTL4
PHLPP1,FAS
ATP13A2,CANT1
SPRY2,TEK
FGFR2,VWA5B1
KAZN,SEMA4A
PRDM14,SH2D4A
PSMC1,CEACAM21
SC5D,ARHGEF16
FAM49B,LOXL1
AFAP1,PLXNB2
DACT2,ABR
SPTLC1,SNAI2
SLC22A23,HOXC8
LYZL1,CREB5
TCERG1L,S100A16
PGPEP1L,CYP2S1
FAM65B,CLLU1
ARHGAP28,CSMD2
PDE3A,GPSM1
NRP2,ITGB3
USP3,POU5F1
PRDM11,RYR1
SLC18A1,ZNF578
GTF2H5,GDF5
MICAL2,HOXA11
SPON2,TM4SF4
DDAH1,USP2
RNF144A,ITGB4
ITGA11,SVIL
MYOF,TMEM125
DYSF,SCG3
CTTN,ZNF536
ACTBL2,HOXA2
SFRP2,TBC1D12
FRMD4A,BTBD17
ARHGEF10L,CLDN19
CD82,COL22A1
KSR1,GAS6
PARVA,NAP1L2
AMIGO2,GYLTL1B
UPF3A,ZNF823
PITRM1,KAZN
PRR16,HHAT
RARS,NLGN4X
CCDC182,SYNM
TMEM171,VASN
FADD,ARHGEF37
CRYBB1,KCNG3
GCNT1,KRTAP10-12
PCED1B,UGT3A2
FAM92B,SSPN
PAPPA,PTPRZ1
MBNL2,DMKN
CNTLN,GLB1L3
ZNF536,SLC7A5
ANK1,HAVCR1
SH2D4A,CD44
SPTLC3,GABRB3
MICAL3,CLDN6
CDC42EP1,DUSP1
FBLN2,HOXC9
SLC25A51,CADM3
PFKP,TXNRD2
TCF7L2,COMT
LTBP2,RHOB
CUEDC1,HRG
PCDH1,SULF1
SERAC1,SEMA5A
NEDD4L,SIRPA
ANXA2,NTN4
C10orf105,SLC3A1
INHBB,FAM65A
ARHGAP10,SDPR
GSDMC,PPP1R3D
SPECC1,CDH3
TRIL,ADAMTS9
CAPN2,RORA
GPR180,PEX11B
RHOB,EFEMP2
SOX2,GAPT
CANT1,LRRC74B
BCL2L14,KIF1A
MFAP2,IL6
SLC45A4,PDGFC
WWC1,SIAH2
GRB10,SALL4
TESC,DLGAP1
SEPT11,HRCT1
NR3C1,ZNF649
