PromEnh,PromOnly
GALNT10,FBXW7
FOXO1,TRIM6
SPECC1,SYNPR
SP8,KRT8
PSMC1,AKAP2
PLEKHA7,GPRIN2
BEND7,KAZN
SPRY2,RNASE7
MORC3,LDHD
SYNE3,TCF4
TENM4,GOLGA6A
TLE3,C1orf116
IGF2BP2,CTDSP1
SHISA2,SLC22A11
CRISPLD2,DRD3
ENPEP,LRRC17
TRPA1,KIF6
SDK2,TINAGL1
MARCH10,PDE1A
BCL11A,ZBTB44
ANKRD50,ACACA
BMPER,SREK1
KDM4C,ACOXL
VAV2,PDZRN3
QKI,C1orf100
PMAIP1,SYNC
INPP5A,CANT1
NCOA2,TRABD
PTH1R,HAAO
TMEM63C,FGB
PGBD5,SLC25A45
PLXNC1,MEF2C
SCOC,HSD17B4
DDX10,CYLC1
UACA,ERMN
KIF2B,CSF3R
FOXO6,TMBIM1
GINS2,NANOG
SLC18A1,C1QTNF1
KCNMA1,PELI1
RAB12,CPS1
NDNL2,SNRPN
HS3ST3B1,AMY1B
TSHZ3,SPHK1
SDK1,LY6E
BOD1,SC5D
GPRIN2,BDH1
MLLT4,PDCD1LG2
STK24,ZNF578
KAZN,FYB
C11orf58,MAP2K5
DENND3,PLA2G3
SLC25A51,PLA2G2F
STK39,PRDM11
TGM2,EDN2
SLC24A2,ZFHX3
SC5D,ZNF366
CLMP,SH3BP5
SPHAR,NEURL3
CTBP2,SCN3A
LRRC16A,ADAM8
SLC45A4,SH2B3
AGPAT4,SPATS2L
VAPA,LRRN3
SCARB1,RIPK1
BARX2,MAGEA6
GNA12,SLC25A18
TFAP2C,FAM89A
FGGY,DHX32
IL12A,KRT71
PPP1R15B,ADAMTSL1
RARS,JAKMIP2
CHN2,NBPF6
ATP13A3,FOXH1
XKR4,DCTD
FRMD1,AMICA1
SMOC2,BATF
CUX1,BRICD5
DTNBP1,CD200
SH3PXD2A,ACAP1
COL6A3,MAFK
PSD3,TGFBI
ZNF281,ZNF823
LBH,PAQR8
ANXA3,FAM71F1
ZFAT,PRY
SMAD3,PRR9
WDFY2,CDK14
CACNG5,ART4
DBH,MCF2
LRRK1,ITPRIPL2
ZNF516,ESRRG
SLC6A6,MAGEA9B
CRYBB1,ABCA4
OSR1,COL6A3
PRDM11,PRRT4
NRIP1,ABCD1
DNAJC1,LRAT
C10orf142,LPIN2
LYPD6,PLEKHA5
LPP,TIMM23
TMCC3,ALPK2
SALL1,GOLGA6D
SARDH,ZMYND8
ATP6V1B2,ALDH4A1
TRABD2B,CYP19A1
ZNF462,DNAJB4
VTCN1,LAMB3
SOX7,CCL3L3
RAB4A,FAM65A
C5orf38,SOSTDC1
RHOBTB2,SFXN3
IRX2,PLXND1
PAX1,MYT1L
NARS2,SLA
KCNJ6,TYMP
TRIO,ARHGEF9
C2orf91,CLTB
SPIN1,RFFL
ENC1,ARHGEF35
RORA,CRYGC
TEX2,CUL3
ADGRA2,SMARCD3
ANKRD18A,SAMD3
UBE2V1,HSPB6
ELMO1,THEM6
MAF,PACSIN2
SRC,PPARG
CKLFSF7,IGFBP7
AFAP1L2,ZNF761
UBASH3B,GEMIN8
CMTM7,LIFR
CLN8,LDLRAD4
CRYL1,ANXA8
AMOTL1,FAT2
PTPRD,RGS5
EDAR,KIAA1324L
RBM20,TNS3
CREB3L2,C2orf80
CCSAP,DNMT3B
SACM1L,RASAL2
ARHGAP29,LAYN
B3GAT1,IL11
CDH13,SGK2
NEDD4L,MGAT5B
CYBRD1,ADGRV1
LAMA1,C1orf127
SWAP70,KANK4
USP12,INHBE
IKZF2,FOXP1
MANBAL,KCNJ15
CCBE1,POU5F1
NOCT,LAMB1
SPRED2,GAPT
FRMD4A,ZBED2
ARHGAP23,S100A16
GRHL2,EMP1
SETBP1,PRG4
UBL3,ZNF649
FOSL2,RAB31
MYCN,NXF2
SYNJ2,USP17L3
PTK2,PRKAG2
OTX2,MAFB
ENPP6,GPR173
BCL2L14,ANXA8L1
SLC46A3,UGT2B10
CACNG1,EVI5
CCDC6,REPIN1
RGS3,MUC7
ARRB1,TRIM22
OBFC1,GLIPR1L2
GADD45B,FAM19A1
CSF1R,EIF3C
NAP1L4,NPTN
TLR5,COL7A1
LSM3,PXDNL
ACTA1,SLC7A7
ADCY2,PMEPA1
TRIM2,CRH
HTRA3,TRIL
FAM20C,CYLC2
HEXB,SEPT9
RBMS1,GDPD2
ZNF217,ZBTB38
SIAT4C,CERCAM
LINGO1,FGF2
MYO3B,SPATA31A1
ADGRG1,CHD3
IGSF21,SLC39A2
SYT13,TAGLN2
AVPR1A,C1orf198
APBA2,CFAP45
ERRFI1,ADCY4
SFR1,RYR3
COL17A1,HDAC9
FGF2,KCNQ5
C8orf4,PLA2G4F
VRTN,ERV3-1
CD59,CLIC3
NFIA,PLD3
SLK,SYTL2
CLLU1,KLKB1
CHD6,SH2D4A
ADGRL3,ANXA10
GMDS,MIA
MKL1,VRTN
SIX2,JPH4
ALDH4A1,BCO1
RBM34,NTS
SLC7A1,TFAP2E
COMTD1,PEX5L
MICAL2,GLYATL3
NTF3,PGF
WISP1,FAM178B
HSPB8,MAP2
LRIG1,PMP22
GTF2H5,CCDC12
GNA14,HSFX1
PLEKHA5,GTF2H2
LAPTM5,RNF186
CALM2,P2RY12
FBLN2,DTNA
PELI1,IL23A
RIN2,CNTNAP3
SEMA4D,KCNN4
RBPMS,MBD3L2
SH3PXD2B,MAGEA4
MAP3K4,ASIC2
ATXN10,PTPRCAP
CDYL,SRY
RHOB,ART3
TNS1,GRAMD1B
HIVEP3,CDH5
MEIS1,LAPTM5
RPS6KA2,TCAF2
CACNA1C,FABP7
GALNT2,ATP1A4
RALGAPA2,GPM6A
VASN,EFNA1
NHSL1,TRIM72
MYO18A,TENM4
ROPN1L,IFIT3
NTM,LMNA
CERK,NOG
PRDM4,IL36RN
C2orf61,LRRC32
ZNF484,NXF2B
VGLL4,EVA1A
NNMT,HPX
PRKDC,FSTL3
TNFSF10,CBWD3
SP4,IL1R1
HK1,CBWD7
ANKRD11,KRT80
ZNF521,SPNS2
SSH1,ZIC4
MCM4,PLEC
ABLIM2,GSTT2B
EYS,CTXN3
TMEM119,SMAD9
S100P,TOM1L2
DNAJB6,GC
LITAF,PCYT1B
SEMA3D,FLNC
RCOR1,KATNAL2
EZR,POLR2J2
TTLL11,NINJ2
LRTM1,WNT5B
PMEPA1,MAP7
GLDN,ARHGDIA
RRAS2,HIF3A
WSB1,GPR19
MEDAG,ASPA
AXIN2,EPB41L5
SLC25A37,NRCAM
AKR1D1,SLC22A2
LINGO2,SEPT8
TNKS1BP1,TIMP3
BHLHE40,CEP83
FLVCR2,PLEKHF1
BTG1,KIF5A
TUBGCP3,RNASE11
L1TD1,C1orf61
SMYD3,ELK3
THUMPD2,HPCAL1
FBLN1,KCNJ12
CSRP1,SLC41A3
SNX9,CT47A1
HEG1,ZNF106
UBC,EPN3
KLF4,ACSL1
CHN1,ZNF280D
WIPF1,CD209
