PPP3CA,SLC38A8
NCOA2,ADRA1A
C11orf63,CTNND2
SGK223,SLIT3
HS3ST1,TAC1
ADAM17,NEFH
SNX18,FGF1
PSMB7,TRABD2B
SHH,SASH1
POLR2M,SLC13A3
MACROD2,PCDHA1
PCNX,PTPRN
ANK1,ZNF804B
PDE7A,ATP2B1
BCL11A,SYNPR
SIX3,PTPRR
NR3C1,ANXA10
FAM63B,SLC6A3
HES1,TMC5
KLF3,MYH8
ECT2,ECM2
NMUR1,SH2D4B
CCDC6,VEPH1
LRRC16A,C8orf34
ST6GAL1,SLC19A3
C12orf74,HIST3H2A
C2orf57,INTU
ANXA2R,PCDHGA6
TRIB2,QPRT
MKRN1,WNT3A
CRB2,GRIA3
BAALC,MARCH11
OLIG3,APBB1
ELOVL5,IGF2
FRMD4A,WDR17
C6ORF37,VAX2
HEATR6,ESRRG
MAPK10,FOXE1
NDUFA12,SOX9
AMN,BARX2
PSMG1,SEPT10
CHSY1,UPK1B
USP6NL,RHOXF1
ZNF532,ACSM2A
CLIC4,LHFPL3
ST18,RRAS2
CACNA1E,KRTAP9-7
NDUFS5,NALCN
PELI2,PARM1
PTEN,KRTAP12-1
NTPCR,CCDC102B
KCMF1,LCE1D
QKI,CHRNA4
CHD7,COX4I2
ITGA4,SETBP1
ZNF516,RGS22
ONECUT1,SCRN1
POMP,APC2
DPYD,NMU
ARL4D,HOXA5
ZEB2,CDH1
CAMK1D,HBQ1
ADARB2,FUT9
LCMT1,DLGAP1
CPPED1,TXNRD3
LRRC8C,PNPLA5
SAMSN1,PCDHA13
ASF1A,ANO3
CKLFSF7,ANKRD33
MEF2C,GFRA2
RSPH14,TMEM132C
LHFPL2,ACKR1
MARCH1,CLIC2
BNIP3,GLRA3
PAG1,CELSR3
AAK1,EPHA10
IL6,CNTN4
PAPOLG,PTN
FOXP1,CLCN5
EIF2S2,CALCB
RBM20,SERPINA6
RHCG,FOXL1
SYN3,ALK
CBWD2,AARD
SCML4,GREB1
STARD3NL,DEFB104A
ZDHHC22,RNF212
SLC22A11,PCDHB6
SGMS1,MCOLN3
ADSL,ABLIM1
INHBA,DEFB132
NCOA3,TMIGD3
MARVELD3,KLHDC8A
HAAO,DFFB
CXCR4,HIF3A
SH3BP5,FANCD2OS
VRK1,USH1C
STK17B,CELF4
YWHAQ,PDYN
SORCS1,TMEM179
INSR,ASMT
NIPAL4,PCDH7
BAIAP2,SMIM3
IRF4,DCLK2
CALM1,DACH2
RPS6KA2,GLYAT
RASA2,INSL3
SLC9A9,GRIN2A
SPIN1,IGSF9B
GPR20,PID1
