PromEnh,PromOnly
PPP1R15B,TRIM6
OXNAD1,RAPGEF4
RAP1GAP2,KCNIP3
MKI67,ADGRG1
KNSTRN,NPEPL1
ARL4D,SCN3A
ARHGEF16,LTB4R2
RPS6KA2,EHD2
ALK,KHNYN
FAM20C,CD3EAP
GPR20,CPXCR1
VAPA,AGTR2
KBTBD11,CNTN1
BOC,IFI27
DOCK10,B4GALNT1
POLR3A,CLEC12B
PCBP2,CCDC27
TBL1XR1,AGMO
CELSR2,KIAA1462
RAPGEF1,CD44
NCK2,CRACR2B
CCT7,RUNX1
LMF1,CRX
CACNG1,ADGRE5
OAT,LENG8
CD34,IGFL2
SHB,FGF12
SLC7A1,TAF3
KCNC4,HOXB3
THADA,FUT2
KCNE4,CASKIN2
BCL2L11,LENG9
TENM4,ABAT
HS1BP3,GSTM1
FAM78A,PSG6
SLC6A6,KCNJ9
NDE1,AHRR
CTIF,FLVCR2
POGZ,BBC3
SOX2,DGKI
C16orf72,MEIG1
USP43,S100A13
MFSD4,GRM5
CACNA1C,CHCHD2
TUBB2B,ATP5C1
C3orf14,MAGEA4
RYBP,TENM3
KREMEN1,OPCML
MYO10,WWP2
TMEM53,SUMF2
DSTYK,WAC
LYRM7,TARM1
ARHGEF3,FAM13C
DPH3,NEBL
TPCN2,GPD1
NDUFS5,IGFL3
PVRL1,ETV4
NPW,FAM135B
STX8,C3
PHF5A,NPNT
CPEB4,PRKCZ
ADARB1,HDAC9
PADI2,HRCT1
DHRS12,LRRTM1
PELI2,ABCA13
GALNT10,CELA2A
DLEU7,PLEKHA6
FAM175B,MYADM
SEMA4D,RAB34
NAA20,SRL
MAD1L1,FLRT1
TLE1,CKMT2
NFASC,ALLC
CFAP52,ORM2
CORO2B,INAFM1
PTPRJ,GJA1
ACO2,FTL
CSTB,CARD17
FOXO3,ZNF438
H2AFY,RAB9B
MRPL37,SLC22A2
CNEP1R1,PTF1A
PPP3R1,PLCH1
CCDC167,BATF
ZNF22,H2BFWT
IQSEC2,SLC44A5
JARID2,DMRTA2
DNAJC18,STEAP1B
FEZ1,ASB13
SOWAHC,TRIP10
TIGIT,CLRN1
CA5A,KIN
CPN2,GRIN1
DLG5,ZNF805
RAB1A,TNR
YJEFN3,GALNT13
COL5A1,ZNF583
DAPL1,RAB3D
USP22,ZBTB42
OMP,CHST3
PFKFB3,NOL3
RTEL1,KCNIP2
PPIB,RCAN1
PBX1,PLEKHA4
WBP2NL,ELAVL4
KCNK15,AP2S1
DPF3,MRVI1
PXDN,RALYL
ST6GALNAC1,SCAMP5
SDK2,NALCN
TSPAN15,CSMD1
JAM3,MEGF11
KMT2E,RGPD2
SEMA5B,GPRC6A
TPM3,TCIRG1
MCC,NSUN6
DYNLL2,ANKRD26
MAGEF1,CLEC18B
SNX22,FAM188A
RRP1,ZFY
CXCR2,UPP1
DTNBP1,KCNB1
SYN3,CASP1
ABR,ACSBG1
MTCL1,PAK7
KLHL36,CDH18
JAG1,RUNX1T1
EIF5AL1,TMEM158
OGFRL1,OPRD1
NBPF1,FBXL16
LZTS1,ADAMTS20
FAM92B,MAGEE1
SAMD4A,CBLC
HCN4,MTSS1
TSN,ZNF132
VGLL4,ATP2C1
FAAP20,MRLN
PRUNE2,PRKD2
PAX8,CTNNA3
GMPR,PFKFB3
ATXN1,RAB6B
GNAZ,PPP1R36
FGFR1,DIO2
KLHDC8A,DCLRE1C
AMN,RAB3B
PTPRN2,GRIK2
TXNDC2,OPA3
GSDMC,IDI2
KHDRBS3,C6orf141
BAALC,FAM181A
TSPAN10,RGS3
CMBL,THNSL1
PRKAA2,TMEM88B
PDP1,ZNF551
SLCO4A1,DPF3
ACBD4,SFMBT2
CHST3,PTH
PRKAG2,GALC
TRAPPC9,MCM10
DEF6,GRIK3
SEPT10,CCDC9
EIF2S2,IDI1
POLB,C1QL3
MDGA1,DCX
XRCC6BP1,DTHD1
CDC16,IGFBPL1
ABTB2,CASP4
CCDC122,MYBPC1
AGPAT3,NRXN2
GRIP2,MTRNR2L7
ARL6IP6,KIR3DL3
CAMTA1,TNRC6C
NECAP1,ARL5B
ZNF469,PDE4A
TPRG1,CPNE8
FBXW4,SDCBP2
FYN,USP17L10
LCLAT1,SYDE1
CMTR1,UP
ABCA1,APOBEC3F
HIST1H4D,FABP5
ZNF462,GSAP
NTPCR,SCD5
FAM207A,LGSN
SERP2,ANK3
KRTAP4-8,FAM222A
TRPM1,BANK1
TEAD1,YME1L1
FAM49B,GRB10
TRIB2,IGSF21
CPQ,NOL4
KCNMA1,SHD
PCDH1,ZNF550
SNUPN,PIP4K2A
PTCH1,FXYD6-FXYD2
ST3GAL3,ENKUR
DHX37,ZNF578
HS3ST1,C1QL1
ORAI3,CT45A1
UQCRC2,ANKRD16
ITGA11,AMTN
SNX20,TCP10L2
HIPK2,HAL
FA2H,SMAD3
FMNL3,FOXP2
C9orf152,PATE4
MRGPRF,RPP38
RAB11FIP3,TMEM179
PRR34,TTBK1
PHLPP1,C9orf64
PTGDR2,BCAM
SLC6A1,ZFP2
RSPH14,SHF
ATXN7L3B,TBX22
APOLD1,WISP1
EXOSC6,ZNF286A
GADD45GIP1,OPTN
FAM167B,GFRA1
ENTPD6,BCL2L12
ADSL,CELF6
CAPN5,WDR37
UPF3A,S100A16
CTSA,SLC7A7
PLEKHG3,CAPN2
MYLK,STARD13
UNC13D,IRF3
CALM2,TUSC3
MFHAS1,SPATS2L
CYP19A1,CYTH1
ANP32A,BCAN
SSTR4,FGF14
SET,LBX2
COL18A1,SYNPO
RASA3,PARVG
TCF4,APOD
CPSF5,C18orf42
NAP1L1,DMD
TRAF3IP2,LIMS1
COPS7A,EYA4
EPAS1,GSTA5
CA12,TSEN34
WDSUB1,CXorf40A
LEMD1,THEMIS
TBCEL,GTPBP4
ARHGEF37,EDA2R
TPST1,HSD17B14
RNF24,ZNF385A
PAG1,VN1R1
SMARCAD1,NKAIN4
TFG,GNAI1
CD83,STMN1
HMP19,KIF5B
AQP1,RSU1
TFPI2,ZNF446
JRK,DDIT4
CEP120,DCAF8L2
POLR2M,PDPN
RAB36,C5orf46
PLCD3,EPC1
NUMA1,C4orf26
RPTOR,BFSP2
DKK3,NR0B1
MKI67IP,BIRC7
CRABP2,CMTM5
LSG1,CALML5
BTG1,EIF1AY
SLA,RIPPLY2
MCM5,DHFR
SARAF,CROCC
XPA,ACKR1
CCDC82,GDI2
WAPL,TRIP6
TMEM5,KLHL13
STRBP,FBXO18
ALDH1L2,COL1A2
LPIN1,SLC43A3
RUNX1,KCNJ3
ACTRT2,SUV39H2
DYSF,DIP2C
SIAT4C,BCAR1
KIZ,ANKS1B
IGSF9B,ZNF264
MAP3K4,OPRL1
SAMHD1,AHNAK2
SIRPB2,CYP4F3
NAP1L4,SLCO1B1
EPN2,LRIT2
PPP1R16B,APBA2
RFC4,CATSPER2
PWWP2B,C6orf15
SETBP1,GYS1
ACIN1,RHOD
ULK2,EXTL1
ARHGEF10,KIF5A
SPATA45,MCFD2
SOX8,PAX8
SMOC1,ATCAY
RAB44,NHLH1
CHFR,FAM57B
GINS1,SOGA3
AKAP10,AP2A1
CFAP20,KCTD14
LINGO3,GIMAP5
BANP,TMCC2
CLEC16A,CDC42EP5
DUSP10,MAB21L2
DOCK2,CXorf67
ZNF354A,SMIM3
TMEM120B,TDRKH
TIMP3,PNKP
TMCC3,RNASE1
PRPF40A,LAIR2
CLIC4,MAPK4
MYO7A,SOX1
CMTM4,KLRC1
CHD7,SPARC
CTPS1,FGF3
MAPKAPK2,RUVBL2
TNS1,NUDT19
SFXN4,CDH13
EFCAB1,IL16
C5orf47,MAGEC2
ZNF521,MRPS17
TP53I11,DCN
SLC7A5,ZSCAN22
FBXO7,SERPINA3
TMEM119,RIC8A
NCS1,GEMIN7
NCAPD3,ZAR1
SPESP1,TSPAN4
NAV1,FKBP5
JRKL,SLC7A8
PITPNC1,IL8
GEMIN4,SERPINA1
ITGB4,NAT14
