PromEnh,PromOnly
HIBCH,CH25H
JARID2,INPP4B
USP22,ATP6V1D
SLC22A16,MCTP2
OLFM1,KCTD1
SLC22A23,BACE1
ALDH1L2,ZNF534
COX6A1,ASB2
MCFD2,INHBE
PHC2,MICALCL
TPCN2,NCOA4
SLC41A2,IL4R
TPRG1,DUSP26
TRAPPC10,ZMYM3
PCDH1,PLEKHA6
LGALS1,ACOT4
EAPP,INSL4
KDM4B,PLXNB3
IRF2BP2,TNFSF14
RNF144A,SMAD3
SLC6A1,DEGS2
PFDN1,SYTL1
H2AFY,PDCD1LG2
SLC24A3,OAS2
PARVA,ZBED2
PPP1CB,DPF3
AUTS2,CCDC7
LRRC15,HSPA2
THSD4,ALDOC
STX8,ADAM29
UBASH3B,CLEC7A
CFAP52,PLEK2
ARL4C,TSHB
MRPS23,C14orf178
TAB2,SLC43A2
KATNAL1,RNASE6
C12orf45,FLRT2
RAI1,OR13C5
CAPN5,RLBP1
CTNNBIP1,BDKRB1
CSE1L,LPXN
PKM,RNF111
TKT,PRELP
C1orf21,PSG9
PLXNA2,GK2
SARDH,C10orf55
BDH1,SERPINA3
ARFGEF2,ACOT2
PINX1,BIRC3
GLRX5,OR5D13
NFASC,FAM81B
LSM3,IL1RN
ALDH2,TF
SH3GL1,PIK3R3
SYN3,CD244
GALR1,INHBC
FLJ12783,PCK2
CAPZB,TVP23B
SPRY2,C3AR1
UACA,LSMEM1
XPA,IQSEC3
DAP,SIGLEC12
AFAP1L2,STRA6
WSCD1,SPRN
BCOR,SLITRK2
ATP11A,GPRIN3
ARNT2,MS4A14
OCA2,MRPS17
PRICKLE2,CGB5
TCL1B,MCC
AKIP1,SNW1
KIF26A,MS4A6A
SETX,MS4A10
CYP26B1,TMEM88B
TMEM248,STMN1
ATP13A3,CXCL1
JAG1,CSF1R
NEURL1B,RAP1GAP
SERPINB1,EIF2S1
ACVR1B,GSTA5
ABHD12B,FCRLB
NBPF1,PTPRD
GAB2,CD53
MTSS1,CYP2B6
BCL2L11,MFAP2
RAPGEF1,SRPK3
GNG12,MYH1
SMAD7,C1orf106
CRYBA1,PRSS54
C16orf72,PMFBP1
EPN2,MRPS18A
PRR5L,KCNK13
CHAMP1,CERS5
TTLL11,KIR3DL1
KLF4,CCDC78
PCBP3,KANSL1
UHMK1,FSD2
SAMD4A,ZNF699
TIMP3,USP2
GDF7,LGALS9C
LCMT1,KCNJ15
LGALS3,NOD2
USP43,COCH
VAV2,IRX6
RUNX1,STAB1
PLXNC1,BCAN
COMMD9,CD226
EPHX1,CYP3A7
NRP2,MS4A12
ST3GAL4,DIO2
CD180,CCDC67
CDC42,PLEKHM1
AURKB,CIDEB
UNC50,SLC24A4
ZCCHC4,LIMS1
ATP6V1C1,NUMB
PXYLP1,OBSCN
ZNF462,C3
UNC5B,ACOX2
SIAT4C,PLP1
FAM72C,MTRNR2L3
MRGBP,ASGR2
ARHGAP23,CSF2RB
AHCTF1,SBNO2
NTMT1,PUSL1
CCNL1,TEX19
TFPI2,SLC10A6
TIMP2,BRSK2
USP24,PABPC5
ISOC1,SSX1
RPP21,NDUFS8
SRGAP3,KRTAP4-7
