PromEnh,PromOnly
FAM49A,MAN2A2
SREBF1,KANSL1
LYRM7,KLK6
AGTPBP1,FKBP5
KIF2C,MEPCE
FAT1,PTGDS
STK39,NLRP2
ZNF704,ARHGEF35
PPIF,VCX3B
PTTG2,NFASC
TTLL11,VAMP2
ICOS,CCL3L3
TNS1,HNRNPH3
NTPCR,DDIT4
REEP3,SH3TC2
SLC25A13,MYRF
CLDN23,LDB3
TEAD1,BACE1
MAP7,SQSTM1
AKAP13,PSRC1
KANK1,TMEM88B
TMEM144,GOLGA8N
HACD2,BCL2L1
SCHIP1,CA11
FOXO1,PRDX1
NDUFA10,ARL17B
GAB2,FGFR2
PWP2,FCGR2B
FAM110B,CDK18
PSMB7,MRC1
PSA1,DEFB4A
LPAR1,TUBA3E
FAM72C,CTDSP1
PRR18,PMVK
EFNB2,MBD3L2
ANK3,CTAGE6
MSI2,EFNA1
ARID2,ALDOA
SRPK2,DEDD2
TRIO,HTATIP2
CHD6,FTL
COLGALT2,KANSL1L
LDLRAD4,AATK
ARGLU1,RNASE4
UBC,BTBD19
GSE1,TF
CDC42SE2,GOLGA8K
KNS2,ANKRD20A2
LYPLAL1,TMCC2
OTUD7A,PICK1
NFIB,MAP7D1
SLC1A3,IGSF8
SLC2A12,ZCWPW1
CLDN11,RASAL1
SIX3,NDST1
GLRX5,ANKRD20A4
ST3GAL1,TRAPPC3
NRP1,IPO13
FOXB2,C14orf159
HIVEP3,OR2A42
TFB1M,SERTAD3
SRCIN1,PTMA
ARHGAP21,TREX1
DNER,PDE4DIP
FBN1,DNAJB1
SULF2,RHOXF2
STK24,PPIAL4F
FOXP1,GAGE2A
QDPR,HSPH1
TRAPPC10,GTF2IRD2
GNA14,GPR62
GINS2,SLC9A3R2
KNOP1,SPANXA1
COG6,ARFGAP2
JMJD1C,DEFA1B
TGFB2,UBE2D3
CLCN4,SERPINH1
ST18,C7orf55-LUC7L2
FTO,MZF1
NDUFS5,FAIM2
RPGRIP1L,MBP
ZFPM2,GABARAP
RAB36,CGB
PXDN,PALM2
MAN2A1,ARHGAP23
PPP3CA,ERF
PRPF18,HSPA8
DEPTOR,NXF2
ZNF706,MAT2A
MYLK,PDE1C
FAM134B,PER1
C2orf57,GPR37
DENND3,NACAD
RBM33,CLMN
EGFR,TGIF2LX
IRX3,EVA1C
PTBP2,DEFB106A
HHATL,USPL1
CPSF5,TOB2
OGFOD1,RAPGEF3
BTG1,ZEB2
TSPAN5,GYS1
HAS2,RUVBL2
TNKS,HSPA4
SERP2,C7orf55
PLCXD1,JADE2
WDR11,ZNF48
PTPRG,ARRDC2
NCOA2,ANKRD20A1
CTIF,NUTM2F
RBMS1,CDC25C
C21orf33,ARHGEF2
CCNL1,CALM3
SERPINE3,FAM53C
ARNTL,AHSA1
ABCA1,MYL12A
SRRM1,RHBDL2
KDM4C,TMC6
FOXG1,IP6K3
CSRP2,HSPA1L
POU5F1B,NBPF9
PAG1,BHLHE41
IQSEC1,ASPDH
PIEZO2,SLC4A2
LRRC8C,AMOTL2
ADIPOR2,FXYD1
SMAD7,AK5
CHD1,ERMN
PPIB,CIPC
AKIRIN1,ABCC6
NARS2,CLASP2
EFCAB1,HSPA9B
USP22,SHTN1
OTULIN,TRAF1
CSTF2T,PHACTR3
SLC44A1,PPP5D1
WDFY2,DEFB105B
POLR3A,MEGF10
SACM1L,HSPD1
KLF4,TMEM144
ATP6V1C1,LZTS2
CLUH,UBE2M
PRTFDC1,QDPR
IQCK,ADAMTS1
GBX2,ITPRIP
CDH20,ZNF575
SEMA5A,FTH1
FIGN,SFXN3
TNP1,TRIM73
EDEM3,NR1D1
MAGI1,CSH1
GRM3,HEPACAM
ATP6V0D2,MBD6
GNAZ,DOCK9
TULP4,JUNB
CACNG5,GANC
GALNT2,ARHGEF37
CCDC182,ANG
AFAP1,PAQR8
TANC1,MEF2C
TWIST2,ANKRD34A
NFASC,VIPAS39
SPATA13,CTDSP2
FAT3,NOMO3
CD34,ZNF524
MAX,TUBB5
PTK2,ELOVL1
TSEN15,CSRP1
ZNF311,GJC2
PNMA2,HSPE1-MOB4
CDK19,PLEKHB1
MEX3C,PMP22
TRPM1,HBP1
OBFC1,ETFB
ARL4D,PRAMEF7
PRICKLE2,EIF4A2
CDC42EP4,TAS2R43
FRMD4A,DPYSL2
DNAJB6,DBP
BHLHE22,PDE6B
FKTN,DDX17
MAML2,SCX
CACNG4,CBR1
ARHGEF37,SPOCK3
RSPH14,POTEI
HDGFL1,LGI4
PICK1,RARRES3
MAPKAP1,PLD1
ZNF423,SORT1
EAPP,OSBPL1A
FBXL14,RPL18
FGFR2,SPHK2
TRPS1,SLC38A2
AATK,SKIDA1
MEIS1,HNRNPU
SLC22A15,HSPA1A
PDZD2,PLGLB2
MITF,FLJ11000
TARBP1,JUND
CAMK2D,TMEM69
DLEU7,FAM134A
DST,CTF1
TLE4,TEF
RPS8,U2AF2
MN1,ZBTB45
DKK3,CNPPD1
PDE4DIP,ARID5B
PRKCQ,SEC14L5
INSIG1,BEST1
GOLPH3,AGPAT1
ALCAM,ZNF289
PLXNC1,RNPC4
RAB1A,AMER2
CPEB4,HEXIM1
RPLP1,LDLRAD4
EDIL3,RPRD2
SCD5,NR4A1
FSD1L,VGLL4
RGL1,PAPL
GAB1,TFEB
RAP1GAP2,RFX3
DHRS12,TCP11L2
BTBD19,TECPR2
ZC3H12C,TNFRSF1A
ICE2,TARBP2
LINGO1,GABARAPL1
PHC2,POTEF
NFIA,CLEC18A
WDR5,FAM53B
YPEL2,DDX3X
AATF,NDRG2
PPP1R16B,CDKN1B
AMD1,FUZ
NMUR1,TMEM143
ST7,TTLL7
CALN1,STAT6
HTRA1,MAP1A
NRBF2,GPRC5B
ZFHX4,ZZZ3
SLC9A9,GPIHBP1
SNX22,CPQ
PINX1,DEFB106B
FANCL,FIS1
WWOX,INF2
SIAH1,ADORA1
GUCA2B,AP4B1
STAM2,P2RX7
ATF1,ST13
RNF220,TMEM87A
SOCS7,THRA
ZDHHC14,AHSA2
SIPA1L1,GOLGA8H
MORC3,ZNF24
FA2H,STARD10
NR3C1,MADD
CTGF,GOLGA8M
CALM2,TRIM43
C9orf3,BCLAF1
IRX1,TRIP6
FOXO3,MT3
CEP170,CTAGE9
TBX5,TSEN34
SAMD12,WDR23
RAB12,ZNF565
SLC45A3,TPSAB1
MAFB,TMCC3
MTMR2,XPO1
SDCCAG8,JUN
WSCD1,JWA
KCNK1,EEF1G
NDE1,FAM69A
PEX5L,RNF11
NEK2,TOR1AIP1
SLC7A14,MAGI2
APOH,S100A13
LRIG1,LRRC4B
LIN7C,STIP1
MAP3K7,C12orf57
ITGB6,BOLA2B
PTMA,SPATA31A1
TNIK,XPNPEP3
KLF13,OPTN
TNR,CAMK2N1
SFT2D1,TOB1
SLC24A3,F8A1
C2orf91,ST7L
PHF5A,RNF5
SIX2,TGIF2LY
DMRT2,GPBP1
ADGRL3,NFU1
SIRPA,CYTH1
THBS1,NINJ2
ACO2,MRPS18B
GLDN,EDIL3
PTPRK,NCOA7
USP38,RHOBTB1
BRD3,ZNF146
ZCCHC13,EFCAB7
BBX,CINP
MRPS27,DCLRE1B
PTCD2,UBE2B
CACNG1,TMEM184B
KLHL29,PHF12
LHFPL2,FAM25C
NEO1,SLX1A
MARCKS,PCIF1
PLXNA2,MBOAT7
WDR20,GTF2A1
ZIC2,ROPN1B
PLD1,HERC2
TCRA,ARRDC3
TSPAN9,CLDND1
RAPGEF2,YPEL3
RHOB,PREPL
SFMBT2,DNAJC27
HSP90AA1,CORO2B
ZMYND8,MYO18A
ARMS2,PLXDC2
LRIG3,CIC
SFR1,FGF13
RFFL,PHLDB1
TMEM235,KLRC2
RAB2A,SGK2
KIF26B,ASCC1
DNAI2,CAMKMT
CSNK1G3,PTBP2
EPHA4,SPACA5B
SGK,KIAA0930
TECPR2,PNPLA6
PPP1R15B,VWA1
C5orf47,TNS1
SORCS2,TBC1D3H
SLX4IP,GAS7
SMARCA5,ARHGAP1
YY1,TUBA1
SHH,PPM1D
STMND1,OPA3
DSCC1,MAL
C15orf53,DHRS12
CHN2,PLDN
KCNMB2,CERCAM
POLR2M,GRM3
SLK,SEPP1
CORO2B,GPSM3
MAF,IL12RB1
HAAO,CLCN6
DNM1L,RALGDS
APBB2,BSCL2
CCDC54,FEM1B
ANKRD55,CT47B1
RPS24,PKD2L2
DPH6,TPT1
PLA2G10,WASF2
CINP,TCF4
ERCC6L2,TRIM51
MOCS1,C3orf58
BCOR,TMTC2
EMILIN3,PDK4
MKKS,COX20
GNG12,NOMO1
TGFBR2,CDRT15L2
BCLAF1,MTHFR
DOCK4,ITGB3BP
GRID1,SYNGR4
MAP4K4,DEFB4B
SPESP1,SPDYE2B
POU3F2,FAM102A
POT1,SIRPA
KIF13B,NISCH
FBP1,SMIM5
OAF,WRAP53
BHLHE40,ZNF436
CNPY1,CBLL1
TM9SF2,PLLP
MFHAS1,CGB2
CHST11,ANAPC16
SOX1,ZNF576
WNT5B,CFHR2
SPTBN1,ZBTB4
STAU1,DUSP1
KLF3,BLOC1S6
DCP1B,HGH1
STARD13,BCAT1
C10orf11,DAAM2
LARP6,PAGE5
ZNF281,CLPTM1
C4orf45,GNG3
COL17A1,CCR3
ABL2,FBXL5
REV1,CLK1
UACA,BRSK1
NAALADL2,POLR2A
CHD2,USP1
PTF1A,SLC22A15
STON1,NPIPA5
ARRDC4,CDY2A
PRR5L,TUBB4A
SIK3,MKNK2
CYP19A1,ERBB3
FAM181B,MAPK3
LAMC3,UBE2Q2L
BBS2,STAG2
JAG1,LNPEP
FBLN2,ANK3
ANKS1B,CAPZA1
FANCI,LRRC8C
TMEM206,GABPB2
NOL11,SDCBP2
PBX3,NBR1
FEZ1,BAZ2A
TRIB2,WDR81
C5orf67,RHBDD2
ATP1B1,TMEM53
PPP2R5C,DDX5
CREB5,SPANXN1
HSPA8,CDKL3
SH3PXD2A,LYSMD3
NID1,LIMCH1
UVRAG,PNRC1
ZNF277,CALM2
XPNPEP1,ZNF358
KIF5B,LDB1
BCL2L11,MAN2A1
FOXN2,LARP6
NAP1L1,TCF25
TMCC3,EWSR1
ARHGEF10,RHBDD3
TTC7A,ZBED5
TPRG1,PLEKHH1
ZDHHC22,WBP4
LRRC49,ZBTB47
SPHAR,ARHGEF5
TBCA,ANKRD40
ZNF236,CT45A1
MKI67,ARHGAP5
GRAMD4,ST3GAL5
TAX1BP1,TUBA1A
C1orf21,KBTBD3
MKI67IP,PRDM10
ST8SIA2,CEP95
RPL32,CPEB1
PLCG1,RPL28
PAX1,ZBTB7B
AVPR1A,ZNF705G
SERINC5,EFCAB2
COMTD1,TXNIP
C21orf91,CLTC
MRPS5,BTG2
MCF2L,CNDP1
PRDM14,HSFX1
USP15,CTDNEP1
KIAA0196,HSPB1
NSMCE2,AGAP6
TCF12,NUFIP2
C16orf74,NFYC
LRRC8B,CLU
SPSB1,CDK5
GLRX3,ANKRD37
TSC22,ELP5
MAP1LC3B2,GATM
SHTN1,PRAMEF5
PCDH17,PRMT1
MLKL,SLC39A13
GALR1,IRGQ
TJP1,RUSC1
SNAI1,NUDC
LPGAT1,RNF13
EIF5AL1,NRN1L
SPECC1,IRF2
PID1,FAM131B
NEURL1B,S100A1
PLK3,DDIT3
PLCL2,C20ORF29
XRCC3,ARAP1
HSPCA,AMPD3
FEM1B,STX4
MKRN1,SMDT1
TMEM81,SCARB2
NKX3-2,AHR
ALDH8A1,AASDHPPT
CACYBP,SLC25A18
INTS6,PDZD7
USP3,DEDD
CHMP6,PHLDA3
ANGPTL2,HIST2H2AB
GALNT7,FBXO15
CACNA1C,INTS6
MSL2,RBBP4
HTATIP2,POLDIP3
ANKRD18A,TP53
ZNF462,ACSM2B
FANCC,KAZN
TSN,GLDN
CDH8,SRSF5
ARHGAP15,MFSD11
AASS,DUSP22
THBS2,MYNN
ZNF839,MGEA5
ZCCHC2,NAV1
NACA2,D1S155E
ZBTB20,TCP10L2
ST3GAL5,BORCS5
SYT13,MGAT1
RBBP5,STK40
MCFD2,PP1201
CCSAP,CSH2
ADAMTS1,PRR3
SOX6,CD63
SOX10,PAN2
MOBP,UBB
STON1-GTF2A1L,RHD
FGF1,FUBP1
CLN8,PICALM
C16orf62,NDRG1
FAM20C,P4HA1
PIK3R1,ACTR3C
LRTM2,CPNE8
EFNA5,MRPL18
PPP1R21,MATR3
GMFB,LMF1
PPM1B,SFRS2
BNIP3,IRF9
PGPEP1L,EEF1A1
N4BP1,BIN1
OXNAD1,SNAP23
TMEM242,GAPD
SLC7A11,MBD3L5
SC5DL,ZNF865
DPH3,LUC7L2
SEPT7,ANXA8L1
KIAA0556,SMTN
EIF2S2,KLF7
RAB4A,ZBTB8OS
DOCK9,PIK3IP1
TRIQK,CAMK2D
ZFYVE21,FAM63A
CDC10,FAM47E
PDE1C,GAB2
TRIM29,FAXDC2
GTF3C1,ATP6V1A
ZNF532,MYADM
HRH4,ALG1L
RBM19,CKS1B
ZHX3,ADCK4
MEGF10,SYT11
SMYD2,MED25
BOD1L1,ISG20
GNA13,NFATC3
