PromEnh,PromOnly
TOP1,CRB1
HIVEP2,NACA
BACH2,C6
TMEM200C,TBX3
TGFB2,CSAG1
MARC1,GPR6
KCNH8,AFF2
ST3GAL1,ABCA3
FRG2C,ARHGAP36
ARL4D,MME
OTULIN,NR1H4
EBLN2,LGR5
LMX1B,NXPE4
CLLU1,MPPED2
PRMT8,NFIB
SLC9C1,KERA
ZBED2,PATE1
COMMD8,DMP1
MARCH10,ELAVL4
PTTG2,CPA1
CHMP6,EDNRB
CEP112,MROH9
EBF1,EMX2
PRDM4,KRTAP4-12
SSR1,SI
EFCAB1,TYR
PLXNA2,MEPE
DLEU7,ASXL3
TRMT11,PGC
FMN1,PGPEP1L
GLI2,CORO2B
NOTCH2,STAB2
SLC39A10,ABCG8
INPP5A,ACOT12
EGLN3,LCE2B
IL15,CFHR5
PPP1R3G,CACNA1A
TNFSF18,ERVV-2
PAQR3,PXMP2
TNFRSF13B,SYCE1
ADGRA3,UACA
EDN1,C2orf83
TPO,SNCAIP
MYT1L,TRIM48
WNT16,C5orf46
PTEN,NTRK2
USP38,STC2
GUCA2B,SLC2A7
SPRED2,PCDHGA8
PTF1A,FGFR1
RFP,GUCY1B3
CACNA1B,GDF6
C2orf57,PRG4
PIK3CD,KCTD1
TRIM27,REG4
DDI1,KRT82
CKLFSF7,IGLL1
COLEC12,KRTAP4-9
SSBP2,WFDC9
ANKRD10,SEL1L2
SYNDIG1,USP17L7
REEP3,PTPN20
STK39,LMO3
ARHGAP15,PGR
CBR4,PLSCR4
HSPA8,KIAA1024L
ID2,SPACA7
HDAC9,GULP1
ACSL1,MPP7
POU6F2,PIK3C2G
ZCCHC24,SLC5A9
ITPK1,SLC18A1
SAMSN1,EPB41L2
RGS10,BOLL
SLC22A16,VGLL1
PHACTR1,GRIK2
CFAP46,NPR3
PLGLB2,CCDC70
KCNG1,KITLG
CUL1,SCNN1D
SETBP1,LHX6
UPP2,TPH1
RAB1A,GRM6
CLCN4,TMEM246
KLF3,NR0B1
TBC1D16,PIWIL1
STARD3NL,MAEL
FGF23,MLPH
ADRBK2,PRMT8
HIVEP3,TEX12
GPR55,RAPGEF4
SIPA1L2,REN
CXCL13,RALYL
NKX2-6,SEZ6
TLE1,CACNG5
POFUT2,ZNF112
DCT,DAPK1
GOLGA5,DIO2
IRF4,UGT2B15
MBL2,CCDC81
IGFBP3,NT5E
NID1,PDC
SLC30A1,NKX2-2
FANCL,PATE2
FAM65B,FERMT1
PODXL,SOSTDC1
SAMHD1,TCF3
DLK1,PPP2R2B
TANC2,OR51B6
VAPA,MT1HL1
MAX,C5orf38
UMPS,GNAI1
SIX3,CRH
ZCCHC2,PCDH15
RXRA,MS4A10
SUPT3H,SOX6
STC1,INSL4
SHISA2,LHX2
HTT,CFHR3
HRH4,ISX
ANP32A,RASAL2
C4orf45,KCNIP4
ENPP6,SLC18A3
ADARB2,PDZRN3
EEPD1,SLC6A15
ATP10D,SLC5A12
CELA1,MMP7
RAP1GAP2,CIB4
RAB12,NKX2-6
SCOC,GRIN1
DSCAM,CEACAM20
HDAC4,HSPA6
DCAF4,RPS6KA6
BEND7,RIMS1
NPVF,TUSC3
HABP2,UGT2A1
MAP2K6,CHST9
TSPAN9,SYTL2
UGGT1,ACADL
CARD11,KCNK2
PLA2R1,CBLN2
BASP1,LHX9
KIAA1462,TRIM58
SMARCA5,SLITRK3
AGR3,CETN1
GCSAM,PSG3
POU3F3,NAV2
TFB1M,KCNQ1
FGF3,PPEF1
SPC25,PCSK1
DCUN1D1,LRP12
S1PR1,CLPS
SYNM,OOEP
SPP2,CTAGE1
NUDT4,TBX18
NAP1L4,CYP11B1
MYO18B,MFAP3L
CCDC141,SLC25A31
RP1,KRT25
LRRC1,RARB
RFC3,ZCWPW2
STEAP1B,SPATA8
LIX1,TRIM51
SGMS1,ABCG2
TMEM121,GAS2
BMP2K,IFNA14
KCNJ2,ART1
SUCNR1,KDM4D
IFNGR1,ADAM18
CSTB,RBM24
UBASH3B,FAM163A
EQTN,HYDIN
WDFY2,SLC2A2
COMTD1,ASTN1
PAX5,NR2E1
PITPNM2,PRKG1
TCL1B,CAP2
TANC1,ADAMDEC1
NR5A2,DMRTB1
HMOX1,ASB4
KANK1,AGMO
JMJD1C,CDH18
HTR2A,OPCML
SVOPL,TRPV5
ZFPM1,ALDH1A2
DAAM1,STMN2
CMTM7,COX5A
TSPYL5,CDK2AP1
HTR1F,PPP2R3A
MOS,PCK1
OPRK1,CPS1
MTMR12,LRRC34
CDC42SE2,OVCH1
TRPM1,PITX2
NPY,SH3D19
FOXP1,GRM1
NACA2,KRT27
MMD,COL25A1
SAMD4A,RIMS2
DYRK2,ACTL8
IFNA16,FER1L5
RNF34,TUSC1
ZNF423,CCM2L
FZD1,PAGE5
EOMES,PALMD
USP12,IL1RL1
SLC10A2,CD36
RBM33,MS4A2
TNFRSF21,MTRNR2L12
UNC50,SORBS2
TRIO,GKN1
IFNE,NLRP4
SYT13,CLEC4F
GPR26,ABLIM1
COA5,MMP26
SORCS1,NOL4
MME,TMEM108
EXOC2,LRRC3B
CCKAR,MUC15
FOXC1,NPNT
PUM1,SHISA6
KCTD7,UGT2B28
CCR9,RNF17
TXNL,FAM216B
DDIT4L,IFNA16
SCARB1,FAM179A
TMEM260,SPAM1
THUMPD2,DOCK1
ALG1L2,ZSCAN23
LAMP5,DACH2
DNMT3A,KIF12
DIO3,APOL5
DTHD1,PPP1R9A
INSIG1,IGIP
COL14A1,HMOX1
UBC,TMEM45B
RRM1,MUC7
FAM169B,CCDC80
RASAL2,EYA4
EML4,EGF
CCNL1,DGKG
MTRNR2L6,ACSS3
LAX1,LIPC
TNP1,COL4A3
SMURF2,ELSPBP1
KCNJ6,IRX3
CREB5,KRTAP17-1
GINS2,TNFRSF11B
TM9SF2,HTN3
AKR1D1,PRAMEF11
CD34,SPRR1B
NR2C2,GRIN2A
DAZL,XKR3
ESM1,TCHHL1
BCAS1,PCDHGB4
T,ELAVL2
YY1,DCLK1
GLRX5,GALR1
PIK3R6,LRAT
PAPOLG,HBE1
MYLIP,AASS
EPHA3,DEFB133
FRMD4B,CIC
POLG,DEFB128
EMX2,TIGIT
EPB41L2,TNP1
SPESP1,UMOD
EDEM3,MPDZ
MGAT5,SLCO1B1
ARGLU1,PC
IRG1,P4HA2
PTGDR,PTN
RNF144A,VEPH1
LCMT1,GABRA2
GZMK,OR10C1
SNAPC1,GRIA4
DNAH10,GSTA5
MGMT,FAM180A
ANXA3,TP63
USP25,TBX20
SACM1L,SLITRK6
GPX5,AFP
SCN3B,PCDHA13
