PromEnh,PromOnly
XPA,CTPS2
EIF2S2,RGPD8
TPCN2,SMIM18
KIF26A,CHRDL1
SIPA1L2,FCHO1
SETD5,MME
PSAP,KCNV2
JMJD4,UQCR11
TOMM20,PLEKHJ1
ARL4C,CFHR4
SYNE3,MYBPC1
FEZ1,PCMTD1
MDGA1,TYW1
SALL1,LGI4
FXYD2,IFNA6
GNAS,GPM6B
POU3F3,VEGFA
ABHD12B,SUSD1
RNF144A,DBP
CRYBA1,GOLT1A
CELSR2,VSIG1
HDAC5,SLC43A2
FLJ12783,TM4SF6
SNX22,GPR108
PRR5L,CEBPA
SEMA7A,CUL4B
SGK223,P2RY13
NFYC,MYO9B
RAB4A,CD69
RASA3,SUV420H2
RGS3,SPHK1
SGOL1,ARMCX1
KCNE4,PLPPR3
TLN2,ARHGEF16
GALNT10,ILVBL
SERP2,CCDC67
CASZ1,SLC30A8
MAP4K4,CENPH
OMP,CGB7
ARL4D,TMEM184A
UBASH3B,NFIX
HGSNAT,UBE2A
ISG20,ACE2
C11orf58,SLC16A9
CHAMP1,FAM90A1
TMEM168,SLCO1A2
SLC6A6,TSPAN6
FGF5,FOXD4L5
PITPNM2,PIK3C2G
HHAT,CXorf40A
OLFM1,RAX2
MED27,ZCWPW2
ZNF710,WIPI2
CPN2,PGLYRP2
FAM49A,REEP6
CACNG1,TP53I11
MICALCL,RXRA
KLF4,TAS2R14
TSPAN9,KLF2
COL18A1,SMIM24
MAP3K4,SF3A2
MFSD4,LY96
RAP1GAP,ZNF239
PINX1,IFNG
DEF6,TRIM74
ASGR2,KEAP1
IGLL1,ANGPTL6
ITGB4,OSBPL8
CPSF5,SEPW1
MPV17,TMPRSS11F
ENDOV,GPI
HS1BP3,NKAP
KRT15,UGT2A1
IDH1,BTK
DNAJB6,UBE3A
NBPF1,AES
DLG5,TNFRSF14
CHST3,FAM24B
FNIP2,C19orf70
TXNDC2,PTGES2
OGFOD1,HUWE1
SAMD4A,TCFL5
RPS6KA2,SASH3
SYT13,MADCAM1
SMYD5,TLR8
WAPL,PTOV1
ST3GAL5,OCEL1
EVA1B,LIG1
C12orf45,ACOT1
XRCC3,SPIN2A
KDM4B,BLVRA
UPF3A,NBPF9
CTIF,FLT3LG
SLC41A2,IL13RA2
TUBB2B,LAT2
IGFBP7,CREB5
PCDH1,DTNB
ACVR1B,IL1RAPL1
NFE2L1,ATP11C
COPEB,ADAM29
PPIE,COL6A5
DDR2,PIN4
NDUFA10,QKI
MAX,LSM4
ST3GAL4,ASPDH
PPP1CB,TBC1D5
TIAM1,CGREF1
TSPAN5,EPOR
LCMT1,STX11
GLYATL2,RPL36A
TCF7,CXCL13
TLDC1,F11
WSCD1,BRINP3
SFRS8,ZNF136
CXCR4,SUV420H1
CLUH,ADAM7
MED9,PAK6
C8orf46,BRD1
FGFBP3,IL27RA
RAB44,OFD1
FBLN1,ANKRD36B
LONRF2,SLC7A6
H2AFY,TRIM50
PDK4,CRLF1
BCAR1,APOE
HTRA1,MID1
SNAI1,ZNF653
NR1H3,CACNB2
C16orf74,ZNF365
FRMD6,HDX
STK24,SSH3
STH,MAMLD1
RGL1,DLC1
AMOTL1,TMEM150B
FAM214B,MGP
SEPT10,CSN1S1
WNT7B,SSBP4
STRIP2,PDIA3
ST6GAL1,NLGN4X
SMIM7,PRTN3
LAMA5,OR2L13
PRUNE2,BAHD1
STX8,BBC3
ANKRD60,KANK2
CES5A,INSL4
YWHAZ,DTX3
ZNF135,VCX3B
REEP4,HPSE2
MED26,MTNR1A
CAPSL,NONO
SRBD1,CASC4
CYP11B1,FGFRL1
SRGAP3,PPP1R12B
LILRB1,ZNF22
FMNL3,HMHA1
TRIM65,PINLYP
LPP,TLK1
LGI2,RNF4
KIF26B,ZC3H4
MRPS23,DICER1
SLC6A1,HAL
GNG12,ARHGEF5
SLC22A23,SPANXN5
GRID1,ALDH16A1
KALRN,S100A11
FBLN2,RPL8
MUT,RAB27A
DNAJC8,PDE1A
CAMTA1,IQSEC3
DIO3,DENND2D
SIAT4C,PGPEP1
ANKRD46,KERA
DKK4,PNKP
CLN8,C15orf52
NBL1,AXL
CPEB4,CAPN12
FYN,SLITRK2
FOXJ1,CSF2RB
CNIH3,PALM
RPS9,OR10A6
TRIM29,DEFB114
ZNF512,ABHD8
CPED1,SCG3
GRID2,SLC27A1
NCKAP5,DCN
KCNJ2,PIK3R2
VAV2,MOB3A
MCFD2,SDK1
ZPR1,UGT2B4
TMTC4,PRR22
ECE1,KLRK1
PWWP2B,UBE2M
PRTFDC1,NR1H4
EPHB1,MAGEB16
APPBP2,EPS15L1
GLIS3,DSIPI
VAPA,TMC6
CCNY,PTBP1
TOM1L2,CLCF1
GDF7,FAM131C
ANK1,GBA
CHD7,RPS6KA3
MPRIP,RNASET2
TIMP2,SLC25A31
TRH,GNAS
RAB11FIP4,FAM221A
SLC19A1,CAAP1
CHST15,C19orf48
BOC,GADD45G
SPHAR,MED29
TP53I11,GPSM1
CCM2,AIFM1
ELN,TBC1D3H
MKI67,CCDC172
ARC,SLC7A9
SH3TC1,HSD11B1L
C10orf54,TSPAN8
CELF2,CD36
POLL,TBX22
CA4,C10orf55
C20orf195,RPS11
MORC3,ZNF561
KLK9,RREB1
CCSAP,CDK11B
VEGFB,SPATC1L
HHATL,STK11
LEPROTL1,NELL2
SLC25A15,FAM199X
FRMD4A,RALGDS
C2orf61,PPFIA2
CFAP20,MRPS12
SYN3,HIPK4
SPSB1,NDUFS6
BAALC,OTUD5
PDE4B,SPINK13
PAG1,PRKACA
SET,SIRT2
GAPVD1,STAU2
IFNAR2,ZNF681
GNAZ,CNTN4
GALNT2,IKBKG
SLC30A6,CLEC6A
CASP7,LRRC70
SIGLEC6,TLE6
AZIN2,SLC10A5
SOCS7,ABCA7
SOX8,BCL7B
ADORA1,GADD45GIP1
LAX1,FANCB
FAM49B,SLC4A7
SNRK,TSPAN16
PVRL1,WDR18
GNAI2,MYT1
CORO2B,GSE1
ZNFX1,INO80
CDRT4,SMAD3
ANKRD33B,TMEM82
EEF1D,RAC1
TWIST2,RAP2C
PFKFB3,MURC
C16orf72,PIP5K1B
ARL2BP,APELA
ATXN7L3,NFKBIB
DMWD,SSC5D
TNS1,AKAP5
CNTN2,JOSD2
AGPAT4,SLC45A2
MRC2,MYOM2
FOXO1,SAGE1
ARFGEF2,MRPL36
