file,group,dataset
A34962.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_CAACTA.q5.F1028.PET.ucsc.bw,1,4
A34963.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_CCACGC.q5.F1028.PET.ucsc.bw,1,5
A34964.H3K27ac.merge_bwa.hg19a.A34964_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A34965.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_GCAAGG.q5.F1028.PET.ucsc.bw,1,7
A35236.H3K4me1.merge_bwa.hg19a.A35236_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A35237.H3K4me3.merge_bwa.hg19a.A35237_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A35238.H3K9me3.IX2651.140815.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_1_CCCATG.q5.F1028.PET.ucsc.bw,1,3
A35239.H3K27me3.IX2650.140810.75nt.hg19a.bwa-0.5.7.C3THCACXX_4_CTCAGA.q5.F1028.PET.ucsc.bw,1,4
A35240.H3K36me3.IX2652.140816.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_2_GCACTT.q5.F1028.PET.ucsc.bw,1,5
A35241.H3K27ac.merge_bwa.hg19a.A35241_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A35242.Input.IX2653.140817.75nt.hg19a.bwa-0.5.7.C3TC1ACXX_3_TGCTGG.q5.F1028.PET.ucsc.bw,1,7
A35243.H3K4me1.merge_bwa.hg19a.A35243_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,1
A35244.H3K4me3.merge_bwa.hg19a.A35244_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,2
A35245.H3K9me3.IX2823.140939.75nt.hg19a.bwa-0.5.7.C3YJAACXX_5_ATGTCA.q5.F1028.PET.ucsc.bw,1,3
A35246.H3K27me3.IX2655.140938.75nt.hg19a.bwa-0.5.7.C3YJAACXX_4_TTAGGC.q5.F1028.PET.ucsc.bw,1,4
A35247.H3K36me3.IX2824.140940.75nt.hg19a.bwa-0.5.7.C3YJAACXX_6_GGCTAC.q5.F1028.PET.ucsc.bw,1,5
A35248.H3K27ac.merge_bwa.hg19a.A35248_2_lanes_dupsFlagged.q5.F1028.PET.ucsc.bw,1,6
A35249.Input.IX2825.140941.75nt.hg19a.bwa-0.5.7.C3YJAACXX_7_ACGATA.q5.F1028.PET.ucsc.bw,1,7
A60643.CEMT_94.H3K4me1.181479.C958UANXX_6_ATCACG.q5.F1028.PET.wig.bw,1,1
A60644.CEMT_94.H3K4me3.181478.C958UANXX_5_GATCAG.q5.F1028.PET.wig.bw,1,2
A60645.CEMT_94.H3K9me3.181481.C958UANXX_8_AACCCC.q5.F1028.PET.wig.bw,1,3
A60646.CEMT_94.H3K27me3.182116.C9587ANXX_1_ACCCAG.q5.F1028.PET.wig.bw,1,4
A60647.CEMT_94.H3K36me3.182117.C9587ANXX_2_AGCGCT.q5.F1028.PET.wig.bw,1,5
A60648.CEMT_94.H3K27ac.hg19a.A60648_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,6
A60649.CEMT_94.Input.182118.C9587ANXX_3_CCAACA.q5.F1028.PET.wig.bw,1,7
A60650.CEMT_95.H3K4me1.181480.C958UANXX_7_CTAGCT.q5.F1028.PET.wig.bw,1,1
A60651.CEMT_95.H3K4me3.181478.C958UANXX_5_GATGCT.q5.F1028.PET.wig.bw,1,2
A60652.CEMT_95.H3K9me3.181481.C958UANXX_8_TAATCG.q5.F1028.PET.wig.bw,1,3
A60653.CEMT_95.H3K27me3.182116.C9587ANXX_1_TGAATG.q5.F1028.PET.wig.bw,1,4
A60654.CEMT_95.H3K36me3.182117.C9587ANXX_2_AGTTCC.q5.F1028.PET.wig.bw,1,5
A60655.CEMT_95.H3K27ac.181479.C958UANXX_6_CGATGT.q5.F1028.PET.wig.bw,1,6
A60656.CEMT_95.Input.182118.C9587ANXX_3_TAGCTT.q5.F1028.PET.wig.bw,1,7
A60657.CEMT_96.H3K4me1.181480.C958UANXX_7_AACTTG.q5.F1028.PET.wig.bw,1,1
A60658.CEMT_96.H3K4me3.hg19a.A60658_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A60659.CEMT_96.H3K9me3.181481.C958UANXX_8_AGGCCG.q5.F1028.PET.wig.bw,1,3
A60660.CEMT_96.H3K27me3.182116.C9587ANXX_1_CAACTA.q5.F1028.PET.wig.bw,1,4
A60661.CEMT_96.H3K36me3.182117.C9587ANXX_2_CCACGC.q5.F1028.PET.wig.bw,1,5
A60662.CEMT_96.H3K27ac.hg19a.A60662_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,6
A60663.CEMT_96.Input.182118.C9587ANXX_3_GCAAGG.q5.F1028.PET.wig.bw,1,7
A60664.CEMT_97.Input.181480.C958UANXX_7_TACAGC.q5.F1028.PET.wig.bw,1,7
A60665.CEMT_97.H3K27ac.hg19a.A60665_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,6
A60666.CEMT_97.H3K36me3.182119.C9587ANXX_4_ATGTCA.q5.F1028.PET.wig.bw,1,5
A60667.CEMT_97.H3K27me3.182119.C9587ANXX_4_TTAGGC.q5.F1028.PET.wig.bw,1,4
A60668.CEMT_97.H3K9me3.182119.C9587ANXX_4_GGCTAC.q5.F1028.PET.wig.bw,1,3
A60669.CEMT_97.H3K4me3.hg19a.A60669_2_lanes_dupsFlagged.q5.F1028.PET.wig.bw,1,2
A60670.CEMT_97.H3K4me1.181478.C958UANXX_5_ACGATA.q5.F1028.PET.wig.bw,1,1
A35999.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36000.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36001.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36006.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
