PromEnh,PromOnly
EPHA4,FBXO30
GNAQ,ANXA6
ST3GAL1,TBC1D3H
NFIB,CAPN9
HS3ST1,TTLL10
POU5F2,GAS2L2
BCL2,GJB5
DLEU7,TECTB
BRINP1,BBC3
ARHGAP18,RABGAP1
SDK1,GHR
TMEM41A,SCNN1D
PELI1,IQCK
PBX1,C1orf64
BMPR1B,MARCH11
ABCA1,SLC5A8
SHH,RARG
SUPT3H,FAM19A5
VAPA,CD36
CXorf36,AOC1
ADAMTS17,HS6ST2
PXDN,TAS1R3
ANXA3,ZNF107
BOD1,SS18L1
IQGAP2,CEL
ARL8B,DUSP4
TENM3,HTR1D
HMGA2,GRM4
SH3RF1,BCO2
TSHZ3,VWA1
XPA,ARAP1
MTPN,SNCG
RFTN1,HES5
CTAGE1,ADCY8
MAP3K4,ABCG1
MAN1A1,GJA1
WAPL,CYP2W1
INPP4B,DLG2
TRIL,ENG
TRPS1,NEURL1
TEAD1,PDE4B
COL14A1,PEMT
EDEM1,LRRC38
C5orf47,WASF3
ZCCHC2,TRPV3
WBSCR17,C7orf62
DST,DET1
EFNB2,PLA2G2F
CEP78,KLF5
TM9SF2,C11orf86
CHD6,COL18A1
IKZF2,WSCD2
PRKCQ,KRTAP11-1
CLDN10,NUGGC
LRRK2,SELPLG
TMEM170B,EHBP1
AP1S3,MEDAG
LRIG1,ZNF540
FRY,SDR16C5
ECT2,S100A16
TOX,QPCT
RALGAPA2,HMHA1
RBMS3,GLTSCR1L
RXRA,FABP7
USP25,KCNIP4
TPRG1,CCSER1
SLC9A9,SLC27A6
ZDHHC22,MROH6
MMADHC,VTCN1
MAFB,HRH1
INDO,RIN1
TENM2,ZNF99
FAM49A,SLC5A2
ABLIM1,CORO2B
SLC4A4,OLFML1
RAPGEF5,KLHL32
TP63,ADORA1
SMOC2,FGFR4
NID1,TMEM100
MOCS2,IQSEC3
UBE2U,TENM3
ZFP36L2,NOL4
NCAM1,ALDH4A1
CSRP2,MATN2
SNTB1,CLEC18C
IDO1,TACSTD2
GNAT3,PROL3
FTO,ALOX15
THRB,GPT
PLXNA4,ANKRD65
PPP3CA,SLMAP
RPGRIP1L,SH3BGR
CSGALNACT1,HBA2
ST6GALNAC5,MBP
PTPRD,TUSC3
HMHB1,CDC42EP1
SGK1,ROBO2
FHOD3,FOXI2
PRKCH,RSPO4
LYZL2,CX3CL1
INPP5A,PROL1
NRP2,TMEM173
TNKS,KRT17
ZFAT,FBXO41
ADAMTS5,SCN1B
GHSR,TFF3
MEF2C,CCER2
AKAP11,CPLX2
SLC2A12,PLEC
ANGPT1,BAHD1
TP53BP2,CTNNA2
RNF144A,SLC45A2
SRCIN1,TCAP
FMNL2,PERM1
THSD7A,CCDC78
INHBB,HDAC9
GUCA2B,KCNMA1
ROCK1,KIAA0226L
CLCN4,CCL24
ATP6V1C1,ASPA
CD180,TDGF1
TGFBR2,AK1
SOX11,LRRC52
NEK1,PXYLP1
ATP13A3,GNLY
JUN,CSGALNACT1
SDC2,FDCSP
TAPT1,RUNX1
MBP,SH3BP2
RREB1,MRVI1
MKL1,APOC2
PRUNE2,MANSC4
SNX18,ANKRD22
TTLL11,FAM57B
COA5,ACOT7
UNC50,CD4
CPN2,BCAR1
MCTP2,ALDH1A3
DAAM1,NAPSA
PPIF,PRKAR1B
GNAI1,KLK1
ATP10A,ABR
COMTD1,NHLRC4
TRIB2,GPRIN1
GRID1,FHL1
CNKSR3,NMRK2
