PromEnh,PromOnly
HS3ST3A1,PLEKHG1
SC5D,TCF4
MEX3C,TRIM72
SMOC2,SLC4A7
PLXNA1,C9orf129
SWAP70,OSBPL10
MYO10,CNTN6
ADAMTS16,CLIP4
PTTG2,DACH1
ARNTL,RFX4
SHB,SIGIRR
PRICKLE2,GSTO1
SPTLC1,ANTXR2
CDKAL1,CAMK1G
NRP2,UGT8
JAZF1,CCDC183
NCALD,TMEM8A
EDN1,SHKBP1
HHAT,TRIM54
NCKAP5,KIRREL2
FAT1,TRIL
DAZL,SORBS2
COPEB,FGF19
MYO18A,ZEB1
PELI1,MRS2
SRCIN1,RAD54B
SERPINE3,MXI1
PRMT8,GSN
ARGLU1,HIST2H4B
TLR5,SEC22C
EFNB2,C2CD2
THUMPD2,PPP1R3B
MEIS1,CXCL5
SP8,KIF1A
OPCML,PGM1
TMEM38B,DNAI1
ARL15,IGF2BP2
PJA1,FSBP
TIMP3,NDST4
AUTS2,CELF3
C16orf74,SNAI2
NMUR1,NHLRC4
MAGI1,TMEM88
MEF2C,NCALD
GPR20,OCLN
FOXO6,TICAM2
RAB11FIP4,H2AFB3
ASAP1,KAT2B
PUM1,ACSBG1
LHX2,SCGB3A2
EDEM1,GOLGA8K
ZNF503,SNRPN
LGALSL,SLC37A1
ROR2,BCO1
PLB1,HPSE2
TRIO,PLA2G16
MYO3B,GRM3
PIEZO2,FAM111A
CREB5,TFEB
SRRM4,FGF11
SARAF,KAI1
ICE1,CDHR2
MRPS9,IL11RA
KIF26B,GPR176
SYT13,FAM160A1
TTC7B,METRN
GAP43,SLC18B1
TCF12,TMEM74
WWOX,PHYHIPL
ANKRD6,F2RL1
TNKS1BP1,ZNF281
FHOD3,RRAS
INSC,RHPN1
PDK1,ARHGAP42
PINX1,LECT1
BOD1,GSAP
BRINP1,ZEB2
PRDM14,RGAG4
PGBD5,MTTP
FAM120B,KDF1
NBPF1,GPC4
L1TD1,SNAP25
CHAMP1,FXYD4
POLG,NMRK2
C5orf67,ABCA5
RPS13,SMARCD3
PROSC,PDCD2
MAP1LC3B2,CDS1
AKT3,SOX3
DNMT3B,SIPA1L1
PRR5L,MTCL1
ATP13A3,TBC1D22A
ME3,LSM6
DLL1,JAZF1
KANK4,C6orf118
NAP1L1,APH1B
LEPROTL1,PTX3
EXOC2,ZBTB16
TDRD3,REXO2
NBEA,FEZF2
MTNR1B,SEMA3F
HIVEP3,LCN9
MLLT4,CLDN6
NCOA2,MAP1LC3B2
PDCD2,GPR146
CXCL12,ERBB3
EBLN2,VCPKMT
C2orf57,RAB36
GULP1,SLC7A7
FAM167A,TPD52
TBC1D9,ADD1
NEURL1B,TRAF3IP2
C6orf118,EOGT
TBL1XR1,PRDM14
ANO1,PDE4C
SPRED2,H2AFY2
ATXN10,VWA3A
MRPS23,ZNF704
SMOC1,MBOAT1
HS3ST3B1,ATL3
WDR11,ZDHHC22
PARD3B,CRYBA1
ZBTB16,AEBP2
RRAS2,VLDLR
ST3GAL1,LAD1
PHC2,ZNF248
NDUFS5,ICA1
ZCCHC24,PLCB2
MED13L,PTPN9
GSDMC,NXF2B
AKAP1,ALPK2
ZNF860,BAMBI
PXDN,MACC1
COG6,KRT23
HEATR3,CAPN14
TACC2,CDC42BPG
BRD3,ANXA1
RPH3AL,BEND6
CRYBA4,ST8SIA2
RALGAPA2,ABCD2
TRPA1,A2ML1
NPIPA7,TCF12
ZNF827,LEMD2
FGF2,NR2F1
STRBP,CFLAR
KY,COBL
OSBPL10,FNTB
SOX5,EGLN3
VAMP3,SLC44A2
CUX1,ZNF709
GRB10,C8orf4
MSGN1,SYNPR
SMYD2,ZHX1
RGR,RAB20
ARHGEF10L,BCL11A
RBM20,SH2D4B
USP25,RNF186
PVRL1,KIAA1644
CCSAP,FAM120B
CLMP,BBOX1
ZNF706,LAGE3
TMEM163,DLG2
CRYBA1,LRRC2
UBC,CLIP1
CGNL1,FANK1
CKAP4,F8A3
PRDM16,ODC1
BEGAIN,BDH1
UTRN,TMEM246
SREBF1,CTSC
CDH4,MYCL
CUEDC1,CEBPB
ADGRA2,FAM104A
MRPS31,DAB2
DLG2,MAPK10
GAS1,KCNAB2
PELI2,HPDL
GTDC1,USHBP1
TOMM20,ZNF503
ST6GALNAC3,ACAP1
TOX3,PLCH1
RBMS1,ASXL3
THBS2,TMC6
THSD4,CACNA2D1
PAX1,FLVCR2
CACNA2D4,GDF5
SMARCA2,EEF2K
FBXL14,GUCY1A3
PAX6,AASS
NPAS2,RORA
TLE4,ADCY2
CHD7,CDH6
FEZ1,PPARGC1B
NDFIP2,RGS20
CACHD1,DLL1
CD83,EBF1
PAPOLG,DUSP4
SPRY2,C1orf94
SPATS2L,INHBE
TDRP,LINGO2
TRAF3IP2,BCL11B
AP1S3,SCGB1C1
PTBP2,NFKB1
MYLK,STEAP2
ZEB2,C6orf132
SOWAHB,PPIC
SLC38A4,ABCA1
SPHAR,GHRH
COL5A1,MOGAT3
ALPK2,ADAMTS19
PRKCH,TMEM252
LARS2,PPP1R32
SHISA9,FUT2
C1orf127,SH2B3
CCDC177,COL18A1
HRH4,BMPR1B
ALDH1B1,FXYD5
PTPRN2,PHAX
ATF7IP,HSD17B4
HABP2,MSH2
LZTS1,TEC
CACNA1C,MAF
ZNF217,BFSP1
KDM4C,GYLTL1B
TMEM53,EPHB2
ANKRD33B,PTPRCAP
RAB17,KIAA1715
BHLHE22,EPHX3
NPY,SARM1
KLF9,TNFRSF10A
IL17RD,RGPD6
FOXC1,ENPP1
FYN,SLA
CEP83,ETV5
CDHR3,SLC27A3
AGPAT4,DRD3
SPRED1,THAP4
CTSC,HNMT
RNF165,TMPRSS11E
GXYLT2,FXYD2
NR2F2,TRPM1
GJD4,IGFBP5
CDH1,CMTM4
MAFB,PLA2G12B
SLC25A15,SLC22A6
FZD8,ITPRIP
ONECUT1,GSTO2
AKIRIN1,CPS1
SHQ1,TMEM52
ARHGAP12,RUSC2
C1orf95,ANO3
BCL2L11,TEX33
PDLIM1,EPS8L1
FOXE3,SH3TC2
CLN8,STMN3
COL18A1,PYCARD
DMRTB1,ZNF577
MMP17,TMEM220
SMAD6,PRELP
CTTNBP2,PMAIP1
EBF1,CACNB3
TBX5,RAB19
TM9SF2,WFDC8
DAP,ZBTB38
FGFR2,HOOK2
PITRM1,KLKB1
RAB4A,CEP83
ID4,PAH
CHMP6,PALLD
TPM1,SMAD3
MAML3,ACOX2
SPOCK1,KLHDC10
NOCT,PCNXL2
PLPP2,CRYBB3
PLCH1,EXD2
RAPGEF5,LPIN2
LYPD6B,SLC4A2
SOX6,PAPSS2
CCKAR,SLC38A9
GHRH,FBXO24
NTF3,EPHB6
CELF4,DEFB114
ZCCHC2,ITM2C
ADARB2,DTNA
OTX1,SLC39A14
TTLL11,CSRP1
LIN7C,PRLR
PLCL2,SEC24D
GMDS,LCK
HSPB8,FAM71F1
ERICH1,LIN7A
CDC16,KBTBD11
POU3F2,GNA12
IGFBPL1,FLNC
USP3,CPVL
BRI3BP,MAPK11
SLC18A1,GPRC6A
ARHGAP28,HGSNAT
SLC7A1,PRSS22
FAM60A,DOPEY2
MAPKAP1,HECW1
IRF2BP2,GCNT2
C1orf228,CMTM5
HS6ST2,MAMDC2
TACSTD1,PLCD1
ANKRD18A,SKIL
EDAR,GNAI2
PTCH1,CDHR3
SERPINB9,XRCC6BP1
CRYBB3,ELF1
FAM181A,OSBP2
EPB41L4B,EPS8L2
OXER1,PPP2R2B
LEMD2,VGLL3
FGF19,USP17L13
MGST2,RNF220
ARRDC3,EEF1E1
WASF3,RAI1
ABCA1,NDRG3
SEPT11,FYN
SCGB3A2,TMEM125
PRKAG2,TRPS1
GRAMD1B,GH2
C10orf142,SLC47A2
AKAP6,FAM110C
GLRX3,DGKZ
CRYBB1,NMRK1
RBPMS,TMPRSS5
RAB36,SLC22A5
GALNT7,ARHGEF38
JADE2,VIM
SDK1,FREM1
TSHZ3,MCPH1
PGM1,MARVELD3
GALNT10,STOML2
ITGA6,TTC9
CALML4,FBLIM1
GRB14,ACOT7
MKRN1,RGS3
C6ORF37,HPS3
ARHGEF10,R3HDM1
C1GALT1,FAM71F2
ADGRL3,ARHGEF16
PSEN2,KCNJ5
TECTA,FRZB
MPPED2,CTAG1B
GPR55,HOPX
BDH1,TCF7L1
RNF144A,BCAR3
TRPM1,ZNF438
IGFBP5,ZC2HC1C
HSPB3,GNAS
RBPMS2,NEU4
PFKP,KCNIP2
PDGFA,PDE5A
IDH2,ZFP36
TSPAN5,GPR1
IL12A,RSPH14
HRCT1,ASTL
SETD5,CFAP100
ARHGAP15,OSTF1
FOXH1,ATAT1
NADK,DSG2
WNT7B,RGL1
RHCG,KIAA1522
SIAT4C,KCNN2
PCCA,PKP3
CD200,PDZD4
FLT1,RMI2
AACS,GJB7
RASA3,MSLN
RAPGEF2,GNG4
CLDN23,NMI
CACNG4,DAZL
HES5,CD99L2
RBM47,FHOD3
ATXN7L1,SMARCAL1
SGK223,CFAP73
RBM19,PRR15
CDH2,MEIS3
POU5F2,SEL1L3
PRKCQ,CDCA7
FBN1,ZNF385B
SETX,ANXA9
UBASH3B,KRT8
PLXDC2,MYO1E
CCNI,PCDH17
GRHL2,TPPP3
FNTB,PDE4DIP
IRF2BPL,SPINT2
SPECC1,SLC16A9
ARHGAP32,RHOF
SYNPO2,KCNJ12
FAM101B,FAM214B
PER3,BCAT2
HES3,TNFSF13
MAGEF1,OTX2
SH3PXD2B,FAM98A
PPP1R3B,FAM107A
USP28,RHOV
ARHGEF17,RNASEH2B
LPP,RELT
F11,FZD6
FOXI3,ITPR2
CA5A,ELMO3
COMTD1,LPCAT1
PVRL3,COL2A1
GUCA2B,BNIPL
NUDT12,INADL
TGFBR2,FAM169A
MPPED1,LPAR5
ARFGEF2,RCAN3
ABHD12B,KIAA1024L
FADD,CYB5A
GBX2,PXN
BEND4,LEFTY1
AFF1,CCDC122
ZFPM2,MSRB3
CDCA7,PGAP2
KIAA0319L,AIFM3
AXIN2,ZNF536
DUSP4,PPP1R12A
ZEB1,RPP25
BCL2L14,LSP1
SLC37A1,TLR5
BCKDHB,THBS3
AEN,MEIS2
DIDO1,GLI1
RSPH14,NR4A3
NEDD4L,ACE
GALNT3,CEP295NL
CLCN4,CD55
DDX10,ARL17B
SLX4IP,YPEL4
LAMC2,MUC3A
GALP,CYP1A1
FEZF2,ACYP1
BRF2,NXNL2
NBAS,SLC38A4
BANP,SGTB
PDE10A,TMEM64
PRKCE,PRKD2
FGF12,FXYD6
TDGF1,GAL3ST1
FXYD2,HDC
DKK1,HIP1R
LAMP5,OSTM1
CA4,GLB1L3
CCNG2,DFNB31
ADGRL4,FGF10
ADGRG1,RPL36A
HESX1,NEDD9
TUBGCP3,RASIP1
CTBP2,PIAS2
KSR1,CPA1
SLC25A4,RAPGEF2
XPNPEP1,HESX1
POU5F1,CPSF1
HEY1,ZBTB24
KIF5B,GLIPR1L2
TMPRSS2,SLC7A1
SLC16A2,ATR
DCTN3,LACC1
RGL1,AGXT
EEF1E1,ADGRV1
VTA1,TMOD3
PLCXD1,ATP5G2
