PromEnh,PromOnly
ASAP1,ARL17A
TMEM26,TRIM74
FOSL2,SSX2B
TNFAIP3,RBMY1E
BAIAP2,RAB3IP
BCAT1,CGB
GRAMD4,SPDYE2B
PDE4B,TMSB15B
SFMBT2,PTPN20
CSNK1G3,GRAPL
RUNX2,GAGE1
OGFRL1,TSPY10
ZFPM2,PPIAL4F
RAP1GAP2,NPIPA5
PRDM1,ICOSLG
SLC38A2,USP17L3
NACA2,PNMA6A
SNX18,NPIPB6
PITPNB,RIMBP3C
PLXDC2,SPATA31A5
PLCXD1,F8A1
PSMG1,SPRN
DOCK5,LRRC37A2
EDAR,RSPH10B2
TNFSF11,SSX2
PARP8,RBMY1D
C9orf152,PPIP5K1
SLX1B,CBWD2
BOLA2,DEFA3
SPRY1,CKMT1B
C1GALT1,POTEI
ARHGAP8,SPANXA2
EEPD1,HIST2H4A
TRIB2,GGT5
NMUR1,CBWD3
ELMO1,PLCXD1
KIT,NBPF11
MS4A6A,NOMO2
TESC,FOCAD
GUCA2B,CTAG1B
ZNF516,POTEG
TBC1D9,C2orf78
SLC24A2,CT47B1
GPR20,VAMP7
GPR141,UBE2Q2L
SULT1A4,CLEC18A
GPR55,SERF1A
DNAJC1,DEFB107A
TTC7B,GAGE13
USP15,ZBED1
GBE1,EIF3CL
CHD6,TBC1D3K
NEGR1,GSTT2B
FAM98A,TCP10L2
SMURF2,ANKRD20A4
SHISA2,H2AFB2
SREBF1,HSFY1
CALN1,FCGR1A
PLB1,H2AFB3
CLDN10,CFC1B
FCGR1A,USP17L1
POU5F2,HIST2H3A
SETMAR,SULT1A4
PPP3CA,ORM1
GPR155,PRAMEF10
RMDN2,WDR72
AGR3,POTED
MACC1,DEFB4B
DNM1L,MAGEA9B
TMEM236,IGLON5
ABCC6,EGFL7
FOXO3,KIAA1522
SEMA4D,HKR1
KIAA1551,SEZ6
MAFB,VN1R1
CHAMP1,BSCL2
ANKRD33B,ZNF721
RIPK2,PHF1
GMDS,CNTNAP3
HDAC9,ZNF626
PPP1R3G,ZNF835
TRIM13,EFEMP2
CASP4,NOMO1
KLRB1,ZNF540
ELL2,TSPY2
RBM20,UBQLN4
NSMAF,ZNF841
BACH1,NLRP2
STARD3NL,ARHGAP27
TOMM20,PLXNB2
THRB,USP7
CCDC71L,ZNF573
TPRG1,GOLGA6L4
UBASH3B,C19orf18
RAPGEF6,ZFP14
ADARB2,SEMA4D
EREG,TMEM63B
GAB2,CELA3A
B3GNT2,SH3BP1
HSD17B12,CBWD1
GTDC1,NEK7
MACROD2,CTSK
CYP1B1,ZNF354C
PREP,TNXB
HS3ST1,ZNF814
TNKS,FDPS
SYDE2,FXYD2
THBS2,ATAD3A
HIVEP3,PACS2
TIAM1,SLC4A2
CD200R1L,ZNF586
KDM4C,ZFP37
C1orf21,FBRS
UBC,ANXA8L1
SAMHD1,CDRT1
GCNT1,CSH1
ZNF124,PWP2
RAB11A,C21orf33
ZNF365,CTAGE9
TLE4,RHEB
PTPRD,FAM86B1
ZEB2,MAGEB10
ZNF493,PCDHGA9
NCF1,S100A14
FBRSL1,MSTO1
POU3F3,CDK10
PWWP2B,ZNF233
NID1,GRB2
PIK3R1,UHRF1
RAB2A,ESPNL
HIVEP2,USP17L10
MYH9,PRAMEF2
PLA2R1,RHD
RFK,ZNF98
CUBN,UBE2K
RAB44,ARMC12
TIMP2,RHCE
ATG10,CCNE1
AUTS2,ZNF544
ZNF100,ZNF585A
SUCNR1,CASKIN2
SLC6A6,NPTN
CLEC2D,ZBED4
CMIP,ZNF385A
EGFL7,ZNF616
AKAP13,SLC35E2B
ZFHX4,PCDHGA6
FLT3,NLRP4
LRRC70,ZNF565
TXNDC2,UBE2I
KRR1,ANXA8
CHST2,GGT6
P2RY1,ZNF486
ZNF718,ZNF208
ADRBK2,NARFL
YY1,ZNF502
MICU2,CDK11B
NEIL3,ZNF726
PLBD1,PSD
RAD51B,POLR2J2
KHDRBS2,ZNF618
CTAGE15,CDK13
CCNY,ERVV-2
PDE3A,LONRF1
NPIPA7,PTBP1
ING2,MAFG
GEMIN6,ZNF454
S1PR1,FZR1
SEMA3D,ATP6V1B1
C3orf67,FANK1
DNMT3B,MAGED2
SCG2,MARK3
ADAMTS17,ZFYVE1
TMEM244,ZNF92
ARHGEF38,ZNF534
TCTEX1D1,ZNF226
EXT1,GPR137
PTGER4,ANKRD20A1
THADA,CDK5RAP3
PSMB7,CTBP2
SH3BP4,TRIB3
PLXNA1,ZNF439
UBE2Q2L,PCDHGA2
CTSC,ZFP2
EQTN,HOXA3
ZFYVE26,IQGAP3
CARD11,ZNF761
HS3ST3A1,PPP1R14B
MEOX2,SH2B3
USP24,SLC29A4
TXNL,PPARGC1B
AUH,ZNF567
ZNF503,ABL1
ARSJ,ZNF404
ETV6,PCDHGB1
NRP1,PCDHGB6
SRPK2,OR2L13
LMO4,ZIC1
GOLGA8N,MEF2D
SPATA31D3,CSNK1E
SLC2A12,TINAGL1
VAPA,ZNF610
FAM174A,ZNF253
DOCK10,ZIM2
LRRC8B,ZNF75A
OTX1,ZNF117
TFB1M,MRPL14
POMP,SLC12A4
SHB,NOTCH2
SCARB1,PEG3
ENPP2,SIRPA
PPARGC1B,GRM6
MBNL1,ZNF287
JAG1,DNAAF1
TLR2,TGIF2
GSAP,GH2
SORL1,DENND1C
RASSF3,EMILIN1
ZCCHC24,ZNF300
FAM49B,HAGH
PDE4DIP,ZNF560
HAAO,LDLRAD4
RPL31,AURKB
BCOR,TBC1D3H
TSN,GUCA1B
ATP8A1,TIGD5
OTULIN,FAM210A
NUTM2F,ARHGAP11A
TMTC2,P2RY6
HECTD1,ZNF551
WDFY2,TMC6
RPIA,ZNHIT2
CHST11,SLC8A2
LIPJ,ZFY
DPY19L2,CXorf40A
NCALD,ZNF813
SID6,ZIK1
HECA,ZNF229
STK17B,TRIM46
TANC1,PLPP2
MME,CD5
ZFPM1,ELAVL1
MKL1,C1QC
ITGB8,ZNF728
RAI1,SCNN1A
ADSL,FAM57B
ZNF484,USP17L2
GTF2IRD2B,ATHL1
FOXN2,SLC25A2
HK2,ZNF483
GNA14,PCDHB15
TMEM121,MTRNR2L4
C12orf74,PPP4R1
PTGES,SYT8
NBPF4,CLDN15
ABL2,NCOR2
INPP4B,OBP2A
COL23A1,CA11
RAB3IP,CYP2C8
TSPAN5,PKD1
CYYR1,ARL5C
ZNF469,SCAMP4
PTPN1,CD164L2
RPLP1,POLR2H
DNAJB6,ZNF266
ARRB1,PCDHA4
TBC1D3B,TBC1D24
AVPR1A,TAF6L
STARD13,PANX2
PREX1,CABP1
CHD7,TIGD7
WAPL,NOMO3
MARCH1,ZNF260
NBPF6,PCDHA11
SLC9A9,PRX
TSPO,PCDHGA7
ERV3-1,RNF114
CALCRL,IGFBP6
CCKAR,MIEF1
MKI67IP,BRCA1
PTPN14,CARF
MVB12B,TEX2
SORCS1,RXRA
NXPH2,SSR2
MTMR12,FAM83G
USP12,DEFB104B
EBLN2,DENND5A
RASA2,HIST1H4F
PIK3AP1,ZNF568
ICOS,HSPA1L
B3GALT2,PFDN1
HBS1L,RFX1
XCL2,RNF208
NBPF11,PCDHA1
FAM19A2,PCDHGA3
PDCD6IP,LENEP
STX11,NEK6
PPP1R21,CCDC81
KCMF1,ZFP69
FLJ11160,PCDHGA1
EIF5AL1,DALRD3
INO80C,CEBPB
NOTCH2NL,HYOU1
SLITRK1,PDZRN3
OLIG3,FBRSL1
C2orf91,ZNF649
CCDC182,PCDHAC1
MBD3L5,SLC16A3
SVIL,ST20
GOLGA6C,NECAP2
SSR1,SLC6A16
ADAMTS20,CAMKK1
ASF1A,GSDMA
SPATA13,ANKRD20A2
MBL2,FAM219B
RAPGEF4,TBX18
DAAM1,MYBBP1A
AOAH,DDX3Y
GTF3C1,ESRRG
PDZRN4,LTA
PRICKLE1,PKN1
DPH5,RAB3A
CXCL13,HKDC1
LONRF1,KANK2
GLIPR1,ZNF415
PRSS58,BRD1
IFNA16,SCAMP2
ATP6AP1L,KIAA1551
ALG1L2,PCDHGB5
IQGAP2,PITX3
CD44,ZNF84
FAM20C,ZNF516
FAM76A,PCDHAC2
SLC30A1,TGM1
ZNF721,CYP1B1
DGKH,ARHGAP11B
MORC3,PFKL
NOTCH1,PCDHB5
RIMBP3C,ZNF418
RPTOR,ARTN
LRRC8D,UTY
ST18,CLK3
BCL2L14,KRTAP9-7
SYT13,PMEL
EEA1,CLIP3
UBE2L3,MFSD11
DAGLB,DYDC2
MAX,OPRL1
MTCL1,TSPO
KLF9,ALPPL2
GZMK,MGAT3
SLAMF6,ZNF320
CADM1,PSMD2
ADAMTS5,RPL32
PCNX,CRIPAK
ITGB6,PML
RAP1B,ZNF879
SERPINB1,PCDHA12
AKT3,XYLT1
ENOX1,ZNF714
CDC42EP3,USP29
ANO6,ARF6
MBD3L4,RHO
EGLN3,SLC43A2
BTLA,MUC1
GAPT,RGS14
LEPROTL1,STRADA
RALGAPA2,EMID1
PIK3CD,PCDHGA8
IRX3,LARP4B
SWAP70,IREB2
FGL2,KLF7
KIF26B,ZNF480
IQSEC1,WBSCR17
TBATA,ZSCAN18
BRD3,VAMP2
TMEM65,CXCL13
TXLNB,SMARCA2
N4BP1,ZNF350
PRG1,ATG2A
GOLIM4,PDLIM7
SSTR1,CEP295NL
FNDC3A,NEURL4
RAPGEF5,IRGM
DHRS12,TACC2
EDNRB,FOXI2
HAND2,GALR1
IFNA17,ZNF727
RASAL2,ZNF256
RGMB,NECAB3
GGT5,NLGN4Y
SNX9,PRRT1
RGPD2,RGL2
BIK,AP1G2
POU4F1,POTEF
SV2C,SLC25A25
CDK17,ETV1
RIN2,FAM13A
TAB2,ZNF549
NPIPB5,ZNF160
RCOR1,OTOP2
PTGER2,CMIP
FAM86B2,RASA4
SPDYE2,DDX39
CREB3L2,CLIC1
LAMC3,DPP6
H3F3C,MSRA
NOMO3,CMPK1
KL,ZKSCAN7
DMXL2,LILRB3
PAN3,CNST
RICTOR,FASN
NR1D2,MFSD2A
TNS3,IP6K1
TNFRSF21,COMT
ALDH8A1,AGRP
CD47,DHCR7
NCK2,ACVR1
TCRA,NOP2
SMIM11A,PCDHGA5
EVA1B,ATRIP
INSL5,MAP1A
MBD3L2,BARX1
CLSTN1,RND2
EIF2S2,PCDHA2
SYT15,ELAVL2
GOLGA6D,IL17RE
C10orf54,PRM1
PTPN12,ADAM20
RPS6KA3,KLF16
CDK5RAP2,ZIC4
TTC33,SSTR1
REV1,ZNF468
SULF2,PAX9
EAPP,ZNF701
POM121C,ZNF555
PFDN1,USF2
EPC1,IQCF3
SRRM1,SLC35E2
C16orf74,EIF4A1
RSPH10B2,ARPC2
FOCAD,ST6GALNAC3
HTRA3,PCDHA13
BANP,MEX3D
ZNFX1,TMSB4Y
PDE7A,UBA7
RAB11FIP4,SP2
VPS54,FCGRT
DAP,EIF5A
FRG2,DIDO1
WWOX,CYTH1
SPOPL,NFIX
ARHGEF16,SNX8
AC013461.1,GPANK1
PRKCQ,GPSM1
LRRC8C,NAGLU
ST6GALNAC1,MSX2
PRKCA,SF3A3
WDR7,DRAP1
BRE,ZNF416
DGKD,DRC7
LRRC1,ZNF530
EFCAB1,ERV3-1
CHD1,GHRL
TBC1D3K,ZNF682
CELA3A,LTBR
TBC1D3L,CABLES1
E2F3,VWF
RPGRIP1L,METTL2B
ZNF311,PREX1
FANK1,RANBP3
NUDT12,PCDHA8
HIC2,PLXNB3
CYBRD1,SPIRE2
FAM25G,FUT1
ICOSLG,TAF7
CBWD5,ZNF177
ETS2,FERMT3
MBD3L3,TOB2
ZC3H12C,ODF2
PPP4R1,FUT7
RPL32,KRTAP2-4
FBXL3,PER1
RASSF8,RXFP4
ADAM7,ZNF829
ZNF827,FAM86C1
GPBP1,PCDHA3
TRMT11,GBX2
APOBEC3G,RGN
ZBED4,PTK9L
SGSM3,MPST
CRB2,ZNF578
HGF,ZNF528
LGALS1,TRAF7
RBKS,TMSB10
UPP2,TPM2
MARCKS,FURIN
STK39,ZNF85
C9orf78,ALG1L2
CTXN3,CTNND2
GADL1,SLC3A2
TCAF2,CNOT3
GOLGA8B,RAB40C
LIPF,KLHL17
FAM117B,SPANXC
RGCC,MPO
ERCC6L2,MTHFSD
ARL5C,CALR
PLK2,HDAC7
MPLKIP,SNAP91
NOL12,DDX21
ABCC1,DNAJB1
RREB1,SIPA1
RHD,EPHA1
DUSP22,GPR37
MGST2,ZNF880
TNIK,FOXJ2
PUM1,H1FX
TOP1,ARHGAP6
FAM134C,EIF1AX
ORM2,FFAR1
PRPS1L1,FKBP5
USP3,PCDHGB2
TMEM53,CTCF
FTO,ZNF717
ORM1,SQSTM1
TRIM74,ZNF205
C1orf186,SRRM1
LGALS9B,BTBD19
ITM2B,ZNF599
