PromEnh,PromOnly
ROR2,LACTBL1
ERN1,C1orf234
RTP5,KDM1A
DPYSL3,LUZP1
EBLN2,HTR1D
KLF13,HNRNPR
PPARD,HNRPR
TANC1,ZNF436
RAB1A,TCEA3
ANKRD46,ASAP3
LGMN,E2F2
LYZL2,ID3
PAG1,RPL11
LY86,TCEB3
DTHD1,PITHD1
SERP2,LYPLA2
TMEM121,GALE
ZCCHC24,HMGCL
YWHAG,FUCA1
LCLAT1,CNR2
RBM47,PNRC2
SPDEF,SRSF10
RAB44,MYOM3
LHFPL2,IL22RA1
SNX18,IFNLR1
BIK,GRHL3
GMPR,STPG1
NCOR2,NIPAL3
FKBP4,RCAN3
SARAF,NCMAP
FAM65B,SRRM1
IAH1,CLIC4
TOX,RUNX3
PLGLB2,SYF2
MBP,RSRP1
FOXQ1,RHD
SH3BP4,TMEM50A
FRY,SMP1
C2orf57,RHCE
ECT2,TMEM57
ANKRD10,LDLRAP1
CRHBP,MAN1C1
DIO3,SEPN1
ZNF704,MTFR1L
UACA,AUNIP
ZFP36L1,STMN1
FLVCR2,PAFAH2
RAB11A,EXTL1
EHMT1,SLC30A2
EDAR,TRIM63
NIPAL4,PDIK1L
INHBB,FAM110D
EXOC4,ZNF593
B4GALNT3,CNKSR1
WAPL,CATSPER4
PRKAG2,CEP85
COMTD1,SH3BGRL3
UBN2,UBXN11
SOWAHB,CDW52
TRAF6,AIM1L
KCNB1,ZNF683
TNFSF10,LIN28A
TACC2,DHDDS
RAPGEF6,HMGN2
DIP2B,RPS6KA1
BUD13,ARID1A
GRAMD4,PIGV
LEP,ZDHHC18
RICTOR,SFN
INPP4B,GPN2
STX2,GPATCH3
KDM4C,NR0B2
USP25,NUDC
CLYBL,KDF1
TXNDC2,TRNP1
ZFR,FAM46B
RND3,SLC9A1
PTPN3,WDTC1
ELOVL6,TMEM222
RAI1,SYTL1
MYB,MAP3K6
RNF43,FCN3
POLG,CD164L2
HDAC7,GPR3
MTHFD2L,WASF2
BTBD17,AHDC1
QKI,FGR
SAT,IFI6
THBS1,FAM76A
ANKRD9,STX12
PLD1,PPP1R8
ARHGAP42,THEMIS2
AGTR2,RPA2
FRG1,ASML3B
RSBN1L,XKR8
ARHGAP18,EYA3
C2orf80,PTAFR
SMCO4,DNAJC8
DYSF,ATPIF1
UMPS,SESN2
CCSER2,MED18
GOT1L1,PHACTR4
PLXNC1,RCC1
CAPN7,TRNAU1AP
ZC3HC1,RAB42
FBXL14,TAF12
ZPBP,GMEB1
MCTP2,YTHDF2
STK38L,OPRD1
PLEKHG1,EPB41
GNA14,TMEM200B
RXRA,SRSF4
SORL1,MECR
TNRC6B,PTPRU
OTULIN,MATN1
GADD45G,LAPTM5
ASXL2,SDC3
FCGR1A,PUM1
POU5F2,NKAIN1
PXYLP1,SNRNP40
TMEM44,HSPC251
PPIL4,FABP3
MREG,SERINC2
ANKRD18B,LCN7
CD180,TINAGL1
AHR,HCRTR1
AMN,PEF
NDFIP2,COL16A1
CAPZA2,ADGRB2
ANKRD44,SPOCD1
SH3RF1,PTP4A2
TATDN1,KHDRBS1
CBLB,TMEM39B
ALPPL2,KPNA6
CCKAR,TXLNA
KLRG2,CCDC28B
GRB10,IQCC
CUL1,DCDC2B
KLHL31,TMEM234
PAX8,FAM167B
DHRS12,LCK
CNDP1,HDAC1
NSMCE2,MARCKSL1
KMT2C,TSSK3
ANKRD62,FAM229A
TECPR1,BSDC1
TNFRSF21,ZBTB8B
STK17B,ZBTB8A
VILL,ZBTB8OS
ELF1,RBBP4
ANP32B,SYNC
NEDD9,KIAA1522
SLC4A4,YARS
ADARB1,S100PBP
CAST,FNDC5
MSX2,HPCA
PSMB7,TMEM54
FRMD4B,AK2
DUSP4,AZIN2
SMPD3,TRIM62
TMEM170B,ZNF362
GPR37L1,PHC2
OLFM4,ZSCAN20
YY1,HMGB4
POLB,CSMD2
CCNB2,C1orf94
CHSY1,GJB5
SRPK2,GJB4
TFRC,GJB3
PTGES,GJA4
GPC4,SMIM12
MED4,DLGAP3
DGKD,ZMYM6NB
SHH,ZMYM6
BCAS1,ZMYM1
CBX4,SFPQ
DDX60,ZMYM4
ZHX2,KIAA0319L
SDR42E1,NCDN
SYT13,TFAP2E
BAK1,PSMB2
NHSL1,C1orf216
FBXO32,CLSPN
KIAA0196,AGO4
ADGRF1,AGO1
EQTN,AGO3
DAD1,TEKT2
ZFAT,ADPRHL2
ACSL1,COL8A2
TET2,TRAPPC3
THOC2,MAP7D1
CTIF,THRAP3
ODF3L1,SH3D21
URAD,EVA1B
DGKH,STK40
RPIA,LSM10
FOXP1,OSCP1
FBXO16,MRPS15
CRB2,CSF3R
SNX10,GRIK3
TLR8,ZC3H12A
PPP1R13B,FLJ11730
TTLL11,SNIP1
IGFBP3,DNALI1
CEBPD,GNL2
PIGPC1,RSPO1
SIAT4C,C1orf109
ENPEP,CDCA8
LRIG1,EPHA10
ASAP2,MANEAL
ITGB6,C1orf122
PPP1R1C,YRDC
ADGRA3,MTF1
FUT8,INPP5B
TCRA,SF3A3
EDEM1,FHL3
SORBS2,UTP11L
ZNF521,POU3F1
BTBD16,RRAGC
NIPSNAP3B,MYCBP
ZMYND11,GJA9
C9orf152,RHBDL2
PDE2A,AKIRIN1
NT5DC3,NDUFS5
RASSF3,MACF1
SPRY2,BMP8A
AGR3,PABPC4
UGGT1,HEYL
C4orf51,NT5C1A
DHX15,HPCAL4
SIK1,PPIE
WDFY2,OXCT2
TPK1,BMP8B
SUMO4,TRIT1
BCL11A,MYCL
SLCO3A1,MFSD2A
TMCC3,CAP1
SACM1L,PPT1
SLC1A1,RLF
PLB1,TMCO2
MBNL1,ZMPSTE24
UBAC2,COL9A2
FAM50B,SMAP2
AUH,ZFP69B
TSPAN9,ZFP69
EPB41L4B,EXO5
ERC1,ZNF684
RERE,RIMS3
CDK5RAP1,NFYC
GSAP,KCNQ4
SGK1,CITED4
ACSL3,CTPS1
HPS1,SLFNL1
ADRA2C,SCMH1
SSR1,FOXO6
SOS1,EDN2
BMP2,HIVEP3
FAM124A,GUCA2B
BACH2,GUCA2A
SAMD12,FOXJ3
ZFHX3,RIMKLA
NCOA2,PPCS
TLE1,ZMYND12
BAIAP2L1,PPIH
NR3C1,YBX1
PREP,CLDN19
CAMK2D,P3H1
PLXNA1,C1orf50
C3orf67,ERMAP
FOXO3,SVBP
RAP1GAP2,ZNF691
SYNJ2,SLC2A1
SLC25A51,FAM183A
AKR1D1,EBNA1BP2
C20orf85,TMEM125
CERK,C1orf210
COG6,TIE1
SIPA1L1,MPL
MVB12B,CDC20
CMTM4,ELOVL1
NEURL1B,MED8
FHDC1,SZT2
ZNF236,HYI
ATXN1,PTPRF
GMDS,KDM4A
VAV2,ST3GAL3
LAMC1,ARTN
AKR1E2,IPO13
PAPD7,DPH2
LMOD2,ATP6V0B
KIAA1549,B4GALT2
STARD13,CCDC24
N4BP1,SLC6A9
TCF7L2,KLF17
RPP40,DMAP1
CADM1,ERI3
GINS2,RNF220
C11orf63,TMEM53
DTNBP1,C1orf228
TMEM252,KIF2C
MAP1LC3B2,RPS8
CTD-2313N18.7,BEST4
DAAM2,PLK3
MARCKS,BTBD19
ACER3,PTCH2
TBATA,EIF2B3
RIPK4,HECTD3
C2orf91,UROD
RECK,ZSWIM5
PPP1R3G,HPDL
RAB12,TOE1
SLC41A2,MUTYH
BRD3,TESK2
FAM167A,PRDX1
POLR2M,AKR1A1
ARL4D,NASP
MORC3,CCDC17
NRF1,GPBP1L1
ITGB5,TMEM69
CHMP6,IPP
C2CD4B,MAST2
GBX1,PIK3R3
ATP6V1C2,TSPAN1
PRDM1,POMGNT1
AKR1B15,LURAP1
CAND2,RAD54L
LHFP,LRRC41
KIF5B,UQCRH
DOCK10,NSUN4
C4orf32,FAAH
PDE10A,DMBX1
UPF3A,MKNK1
TACSTD1,MOB3C
FLT1,ATPAF1
DNAH10,TEX38
TIAM1,EFCAB14
SLC9A2,CYP4B1
PPIF,CYP4A11
KHDRBS3,CYP4X1
GALNT18,CYP4Z1
GINM1,CYP4A22
XBP1,PDZK1IP1
KIT,TAL1
MBL2,STIL
HMOX1,CMPK1
NR2C2,FOXE3
GPBP1,TRABD2B
RHOB,SLC5A9
CNPY1,SPATA6
EPAS1,BEND5
DST,AGBL4
ARRDC4,ELAVL4
SYT15,DMRTA2
TP53BP2,FAF1
PLCXD1,CDKN2C
PDE4D,C1orf185
PGAP1,RNF11
SLC45A1,TTC39A
NBEA,EPS15
FER1L6,OSBPL9
SMC3,NRD1
KCNK9,RAB3B
MSH6,KTI12
KLF5,TXNDC12
WDR37,BTF3L4
GAB2,ZFYVE9
SAYSD1,CC2D1B
ATP11B,ORC1
DMRT2,PRPF38A
BOD1,ZCCHC11
EIF2S2,GPX7
COL26A1,FAM159A
PRSS58,COA7
ARHGEF38,ZYG11B
SKI,ZYG11A
PDLIM1,ECHDC2
FRYL,SCP2
KLHL6,PODN
ZBED8,SLC1A7
ITGA2,CPT2
USP22,C1orf123
DNM1L,MAGOH
APOLD1,LRP8
ADSL,DMRTB1
GLCCI1,GLIS1
FLJ12525,NDC1
CRIM1,YIPF1
PIK3CB,DIO1
PP,HSPB11
CD47,LRRC42
NFKBIA,LDLRAD1
DNAJC12,TMEM59
AFF1,TCEANC2
CXCL13,CYB5RL
WDR44,MRPL37
TRIL,SSBP3
NANS,ACOT11
MCF2L2,FAM151A
LRRC14B,MROH7
ZNF774,TTC4
CYP19A1,PARS2
PRDM14,TTC22
CTXN3,LEXM
DAGLB,DHCR24
FKTN,TMEM61
SLC25A37,BSND
CRYL1,PCSK9
GAS6,USP24
KTN1,PLPP3
LMO2,PRKAA2
MAT1A,C1orf168
LAMB1,C8A
CENPJ,C8B
AJUBA,OMA1
ELK4,TACSTD2
KCNC3,MYSM1
NSUN7,JUN
ARHGAP32,FGGY
TNKS,HOOK1
RASA4B,CYP2J2
ZNF396,C1orf87
CD83,NFIA
WNT8B,TM2D1
PLXNA2,INADL
SOCS1,L1TD1
PP1201,KANK4
PARD6G,USP1
SH3TC2,ANGPTL3
PRKCH,DOCK7
SSR3,ATG4C
PLEKHG3,FOXD3
MSN,ALG6
FOXK1,ITGB3BP
THSD4,EFCAB7
ZNF786,PGM1
SLC35E3,ROR1
TRIB2,UBE2U
BANP,CACHD1
SH3PXD2B,RAVER2
FAM91A1,JAK1
IL20RB,AK4
MYO10,DNAJC6
TNFRSF10D,LEPROT
PRIM2,LEPR
ZSCAN2,PDE4B
RARS,TCTEX1D1
KIAA0930,INSL5
BAIAP2,WDR78
SLC22A3,MIER1
ACBD3,SLC35D1
STOM,C1orf141
ATG9B,IL23R
VIPR2,IL12RB2
GDAP1,SERBP1
ABLIM2,GADD45A
MEF2C,GNG12
GGCX,DIRAS3
MYOZ2,WLS
SEMA4D,RPE65
PPP6R3,DEPDC1
PSMG3,LRRC40
CCDC71L,SRSF11
LIPG,ANKRD13C
ARHGAP8,HHLA3
MELK,CTH
NFU1,PTGER3
KIF13B,ZNF265
GRHL2,ZRANB2
POTEB3,NEGR1
EPC1,LRRIQ3
LAMB4,FPGT-TNNI3K
